"","Pathway","Overall_rank","pval","Intersect","ADset_Size","pathway_Size","adj_p","enrich_rank"
"3","Pathway.KEGG_Metabolic pathways",4,0.990448043116271,2,33,1489,1,81
"4","Pathway.KEGG_Long-term depression",5,1,0,33,60,1,193.5
"5","Pathway.KEGG_Cholinergic synapse",6,1,0,33,112,1,193.5
"6","Pathway.KEGG_Apoptosis",8,1,0,33,136,1,193.5
"7","Pathway.KEGG_Amyotrophic lateral sclerosis (ALS)",10,1,0,33,57,1,193.5
"8","Pathway.KEGG_Proteasome",11,1,0,33,45,1,193.5
"9","Pathway.KEGG_Chemokine signaling pathway",12,0.545829536011441,1,33,189,1,73
"10","Pathway.KEGG_Calcium signaling pathway",13,0.553445030732222,1,33,193,1,74
"11","Pathway.KEGG_Glutamatergic synapse",14,1,0,33,114,1,193.5
"12","Pathway.KEGG_Alanine, aspartate and glutamate metabolism",15,1,0,33,36,1,193.5
"13","Pathway.KEGG_Dopaminergic synapse",16,1,0,33,132,1,193.5
"14","Pathway.KEGG_Cholesterol metabolism",17,0.186960336645205,1,33,50,1,34.5
"15","Pathway.KEGG_Huntington disease",18,0.296843345513435,2,33,264,1,48
"16","Pathway.KEGG_Human immunodeficiency virus 1 infection",19,0.587959762884829,1,33,212,1,75
"17","Pathway.KEGG_Insulin signaling pathway",20,1,0,33,137,1,193.5
"18","Pathway.KEGG_Insulin secretion",20,1,0,33,86,1,193.5
"19","Pathway.KEGG_Prion diseases",21,1,0,33,35,1,193.5
"20","Pathway.KEGG_Alcoholism",22,1,0,33,184,1,193.5
"21","Pathway.KEGG_TNF signaling pathway",23,1,0,33,112,1,193.5
"22","Pathway.KEGG_Serotonergic synapse",24,0.379977085419066,1,33,115,1,54
"23","Pathway.KEGG_Ubiquitin mediated proteolysis",25,1,0,33,136,1,193.5
"24","Pathway.KEGG_Type II diabetes mellitus",26,1,0,33,46,1,193.5
"25","Pathway.KEGG_Estrogen signaling pathway",27,1,0,33,138,1,193.5
"26","Pathway.KEGG_Basal transcription factors",28,1,0,33,45,1,193.5
"27","Pathway.KEGG_Glutathione metabolism",29,1,0,33,56,1,193.5
"28","Pathway.KEGG_Fluid shear stress and atherosclerosis",30,0.111389119535985,2,33,139,1,32
"30","Pathway.KEGG_Lysosome",32,0.400410448009991,1,33,123,1,56
"31","Pathway.KEGG_Long-term potentiation",33,1,0,33,67,1,193.5
"32","Pathway.KEGG_Fatty acid elongation",34,1,0,33,27,1,193.5
"33","Pathway.KEGG_Fatty acid degradation",34,1,0,33,44,1,193.5
"34","Pathway.KEGG_Fatty acid metabolism",34,1,0,33,57,1,193.5
"35","Pathway.KEGG_Fatty acid biosynthesis",35,1,0,33,18,1,193.5
"36","Pathway.KEGG_Protein processing in endoplasmic reticulum",36,1,0,33,166,1,193.5
"37","Pathway.KEGG_Olfactory transduction",37,0.850804533375425,1,33,448,1,80
"38","Pathway.KEGG_Pathways in cancer",38,1,0,33,531,1,193.5
"39","Pathway.KEGG_NF-kappa B signaling pathway",39,1,0,33,102,1,193.5
"40","Pathway.KEGG_Autophagy - animal",40,0.434608215675263,1,33,137,1,59.5
"41","Pathway.KEGG_Endocytosis",41,0.273720178448685,2,33,249,1,45
"42","Pathway.KEGG_Cytokine-cytokine receptor interaction",42,1,0,33,294,1,193.5
"43","Pathway.KEGG_MAPK signaling pathway",43,0.710718267518918,1,33,295,1,78
"44","Pathway.KEGG_PI3K-Akt signaling pathway",44,1,0,33,354,1,193.5
"45","Pathway.KEGG_GABAergic synapse",44,1,0,33,89,1,193.5
"47","Pathway.KEGG_Cellular senescence",46,0.486724711570382,1,33,160,1,66.5
"50","Pathway.KEGG_Insulin resistance",49,1,0,33,108,1,193.5
"51","Pathway.KEGG_Cell cycle",50,1,0,33,124,1,193.5
"53","Pathway.KEGG_Cysteine and methionine metabolism",52,1,0,33,49,1,193.5
"54","Pathway.KEGG_Adrenergic signaling in cardiomyocytes",53,1,0,33,149,1,193.5
"55","Pathway.KEGG_Tyrosine metabolism",54,1,0,33,36,1,193.5
"56","Pathway.KEGG_Steroid biosynthesis",55,1,0,33,20,1,193.5
"57","Pathway.KEGG_Steroid hormone biosynthesis",56,1,0,33,60,1,193.5
"58","Pathway.KEGG_Folate biosynthesis",57,1,0,33,26,1,193.5
"59","Pathway.KEGG_Longevity regulating pathway",58,1,0,33,89,1,193.5
"60","Pathway.KEGG_Nicotine addiction",59,1,0,33,40,1,193.5
"61","Pathway.KEGG_Regulation of actin cytoskeleton",60,1,0,33,213,1,193.5
"62","Pathway.KEGG_cAMP signaling pathway",61,1,0,33,216,1,193.5
"64","Pathway.KEGG_One carbon pool by folate",63,1,0,33,20,1,193.5
"66","Pathway.KEGG_Biosynthesis of unsaturated fatty acids",65,1,0,33,27,1,193.5
"67","Pathway.KEGG_AGE-RAGE signaling pathway in diabetic complications",66,1,0,33,100,1,193.5
"68","Pathway.KEGG_Circadian rhythm",67,1,0,33,31,1,193.5
"69","Pathway.KEGG_Circadian entrainment",67,1,0,33,97,1,193.5
"71","Pathway.KEGG_Breast cancer",69,1,0,33,147,1,193.5
"73","Pathway.KEGG_T cell receptor signaling pathway",71,1,0,33,104,1,193.5
"74","Pathway.KEGG_Glioma",72,1,0,33,75,1,193.5
"75","Pathway.KEGG_Pancreatic secretion",73,1,0,33,102,1,193.5
"76","Pathway.KEGG_Synaptic vesicle cycle",74,0.276352696460518,1,33,78,1,46
"77","Pathway.KEGG_Inositol phosphate metabolism",75,0.264192371037047,1,33,74,1,43
"78","Pathway.KEGG_PPAR signaling pathway",76,1,0,33,76,1,193.5
"79","Pathway.KEGG_Phospholipase D signaling pathway",77,0.460143537672332,1,33,148,1,62.5
"80","Pathway.KEGG_Signaling pathways regulating pluripotency of stem cells",78,1,0,33,140,1,193.5
"81","Pathway.KEGG_Cortisol synthesis and secretion",79,1,0,33,65,1,193.5
"82","Pathway.KEGG_Arginine and proline metabolism",80,1,0,33,50,1,193.5
"83","Pathway.KEGG_TGF-beta signaling pathway",81,1,0,33,94,1,193.5
"84","Pathway.KEGG_p53 signaling pathway",82,1,0,33,72,1,193.5
"85","Pathway.KEGG_Focal adhesion",83,1,0,33,199,1,193.5
"86","Pathway.KEGG_Ascorbate and aldarate metabolism",84,1,0,33,27,1,193.5
"87","Pathway.KEGG_mTOR signaling pathway",85,1,0,33,153,1,193.5
"88","Pathway.KEGG_Pantothenate and CoA biosynthesis",86,1,0,33,19,1,193.5
"89","Pathway.KEGG_Tryptophan metabolism",87,1,0,33,42,1,193.5
"90","Pathway.KEGG_Peroxisome",88,1,0,33,83,1,193.5
"91","Pathway.KEGG_ABC transporters",89,0.169908490081672,1,33,45,1,33
"94","Pathway.KEGG_Colorectal cancer",92,1,0,33,86,1,193.5
"96","Pathway.KEGG_Galactose metabolism",94,1,0,33,31,1,193.5
"97","Pathway.KEGG_Phosphatidylinositol signaling system",95,0.337065157325167,1,33,99,1,51
"98","Pathway.KEGG_Wnt signaling pathway",95,0.486724711570382,1,33,160,1,66.5
"99","Pathway.KEGG_Arachidonic acid metabolism",96,1,0,33,63,1,193.5
"102","Pathway.KEGG_VEGF signaling pathway",99,1,0,33,59,1,193.5
"103","Pathway.KEGG_Nitrogen metabolism",100,1,0,33,17,1,193.5
"104","Pathway.KEGG_Viral protein interaction with cytokine and cytokine receptor",101,1,0,33,100,1,193.5
"105","Pathway.KEGG_Pathogenic Escherichia coli infection",102,1,0,33,202,1,193.5
"106","Pathway.KEGG_Toll-like receptor signaling pathway",103,1,0,33,104,1,193.5
"108","Pathway.KEGG_Spliceosome",105,1,0,33,149,1,193.5
"109","Pathway.KEGG_Thyroid hormone synthesis",106,1,0,33,74,1,193.5
"110","Pathway.KEGG_Thyroid hormone signaling pathway",106,1,0,33,119,1,193.5
"111","Pathway.KEGG_Transcriptional misregulation in cancer",107,0.540035420317129,1,33,186,1,72
"112","Pathway.KEGG_Metabolism of xenobiotics by cytochrome P450",108,1,0,33,76,1,193.5
"114","Pathway.KEGG_Arginine biosynthesis",110,1,0,33,21,1,193.5
"115","Pathway.KEGG_Ubiquinone and other terpenoid-quinone biosynthesis",111,1,0,33,11,1,193.5
"116","Pathway.KEGG_Chronic myeloid leukemia",112,1,0,33,76,1,193.5
"117","Pathway.KEGG_Acute myeloid leukemia",112,1,0,33,67,1,193.5
"119","Pathway.KEGG_Oxidative phosphorylation",114,0.425035350156489,1,33,133,1,58
"120","Pathway.KEGG_Lysine degradation",115,1,0,33,61,1,193.5
"121","Pathway.KEGG_Prostate cancer",116,1,0,33,97,1,193.5
"122","Pathway.KEGG_AMPK signaling pathway",117,1,0,33,120,1,193.5
"123","Pathway.KEGG_Nicotinate and nicotinamide metabolism",118,1,0,33,37,1,193.5
"124","Pathway.KEGG_Ribosome biogenesis in eukaryotes",119,1,0,33,105,1,193.5
"125","Pathway.KEGG_Ribosome",119,1,0,33,153,1,193.5
"126","Pathway.KEGG_Glycosaminoglycan degradation",120,1,0,33,19,1,193.5
"128","Pathway.KEGG_Amphetamine addiction",120,1,0,33,69,1,193.5
"129","Pathway.KEGG_Protein export",121,1,0,33,23,1,193.5
"130","Pathway.KEGG_JAK-STAT signaling pathway",122,1,0,33,162,1,193.5
"131","Pathway.KEGG_Hepatitis B",123,0.491029708342918,1,33,162,1,68.5
"132","Pathway.KEGG_Pyruvate metabolism",124,1,0,33,39,1,193.5
"133","Pathway.KEGG_Sphingolipid metabolism",125,1,0,33,47,1,193.5
"134","Pathway.KEGG_B cell receptor signaling pathway",126,0.288318046409121,1,33,82,1,47
"135","Pathway.KEGG_Cocaine addiction",126,1,0,33,49,1,193.5
"136","Pathway.KEGG_Sphingolipid signaling pathway",127,1,0,33,119,1,193.5
"138","Pathway.KEGG_Citrate cycle (TCA cycle)",129,1,0,33,30,1,193.5
"139","Pathway.KEGG_Chemical carcinogenesis",129,1,0,33,82,1,193.5
"140","Pathway.KEGG_Synthesis and degradation of ketone bodies",130,1,0,33,10,1,193.5
"142","Pathway.KEGG_Selenocompound metabolism",131,1,0,33,17,1,193.5
"143","Pathway.KEGG_ErbB signaling pathway",131,1,0,33,85,1,193.5
"144","Pathway.KEGG_Non-small cell lung cancer",131,1,0,33,66,1,193.5
"145","Pathway.KEGG_Purine metabolism",132,1,0,33,130,1,193.5
"147","Pathway.KEGG_Hepatitis C",132,1,0,33,155,1,193.5
"148","Pathway.KEGG_Renin secretion",133,0.24871308901967,1,33,69,1,40
"149","Pathway.KEGG_EGFR tyrosine kinase inhibitor resistance",134,1,0,33,79,1,193.5
"150","Pathway.KEGG_Tight junction",135,1,0,33,169,1,193.5
"151","Pathway.KEGG_Platelet activation",136,1,0,33,124,1,193.5
"152","Pathway.KEGG_Small cell lung cancer",137,1,0,33,92,1,193.5
"153","Pathway.KEGG_cGMP-PKG signaling pathway",138,0.501639582068832,1,33,167,1,70
"155","Pathway.KEGG_Thiamine metabolism",140,1,0,33,16,1,193.5
"156","Pathway.KEGG_Morphine addiction",141,1,0,33,91,1,193.5
"159","Pathway.KEGG_ECM-receptor interaction",143,1,0,33,88,1,193.5
"160","Pathway.KEGG_Taste transduction",143,1,0,33,83,1,193.5
"161","Pathway.KEGG_GnRH signaling pathway",144,0.320241991200127,1,33,93,1,50
"163","Pathway.KEGG_Histidine metabolism",146,1,0,33,23,1,193.5
"166","Pathway.KEGG_Retrograde endocannabinoid signaling",148,0.460143537672332,1,33,148,1,62.5
"167","Pathway.KEGG_FoxO signaling pathway",149,1,0,33,131,1,193.5
"169","Pathway.KEGG_Ras signaling pathway",150,1,0,33,232,1,193.5
"171","Pathway.KEGG_Melanoma",151,1,0,33,72,1,193.5
"172","Pathway.KEGG_Terpenoid backbone biosynthesis",152,1,0,33,22,1,193.5
"173","Pathway.KEGG_Axon guidance",153,0.530218912511887,1,33,181,1,71
"174","Pathway.KEGG_Ovarian steroidogenesis",154,1,0,33,51,1,193.5
"175","Pathway.KEGG_HIF-1 signaling pathway",155,1,0,33,109,1,193.5
"177","Pathway.KEGG_Fructose and mannose metabolism",157,1,0,33,33,1,193.5
"178","Pathway.KEGG_Carbon metabolism",157,1,0,33,117,1,193.5
"179","Pathway.KEGG_Human cytomegalovirus infection",158,0.610069354834378,1,33,225,1,76
"180","Pathway.KEGG_Hypertrophic cardiomyopathy (HCM)",158,0.31167589434054,1,33,90,1,49
"181","Pathway.KEGG_Arrhythmogenic right ventricular cardiomyopathy (ARVC)",158,0.273331013426631,1,33,77,1,44
"182","Pathway.KEGG_Dilated cardiomyopathy (DCM)",158,1,0,33,96,1,193.5
"183","Pathway.KEGG_Vitamin digestion and absorption",159,1,0,33,24,1,193.5
"184","Pathway.KEGG_Starch and sucrose metabolism",160,1,0,33,36,1,193.5
"185","Pathway.KEGG_N-Glycan biosynthesis",160,1,0,33,50,1,193.5
"186","Pathway.KEGG_Melanogenesis",161,1,0,33,101,1,193.5
"187","Pathway.KEGG_Bile secretion",162,1,0,33,72,1,193.5
"188","Pathway.KEGG_Phenylalanine metabolism",163,1,0,33,17,1,193.5
"189","Pathway.KEGG_GnRH secretion",164,1,0,33,64,1,193.5
"191","Pathway.KEGG_Vascular smooth muscle contraction",166,1,0,33,132,1,193.5
"192","Pathway.KEGG_Malaria",167,0.186960336645205,1,33,50,1,34.5
"193","Pathway.KEGG_Other glycan degradation",168,1,0,33,18,1,193.5
"194","Pathway.KEGG_MicroRNAs in cancer",169,1,0,33,310,1,193.5
"196","Pathway.KEGG_Various types of N-glycan biosynthesis",171,1,0,33,39,1,193.5
"197","Pathway.KEGG_Taurine and hypotaurine metabolism",172,1,0,33,11,1,193.5
"198","Pathway.KEGG_RNA degradation",172,1,0,33,79,1,193.5
"199","Pathway.KEGG_Biosynthesis of amino acids",173,1,0,33,75,1,193.5
"200","Pathway.KEGG_Prolactin signaling pathway",174,1,0,33,70,1,193.5
"201","Pathway.KEGG_Aminoacyl-tRNA biosynthesis",175,1,0,33,66,1,193.5
"202","Pathway.KEGG_DNA replication",176,1,0,33,36,1,193.5
"206","Pathway.KEGG_Adipocytokine signaling pathway",177,1,0,33,69,1,193.5
"208","Pathway.KEGG_Endometrial cancer",178,1,0,33,58,1,193.5
"209","Pathway.KEGG_Natural killer cell mediated cytotoxicity",179,0.420190163827876,1,33,131,1,57
"210","Pathway.KEGG_Pertussis",179,1,0,33,76,1,193.5
"212","Pathway.KEGG_Hepatocellular carcinoma",180,1,0,33,168,1,193.5
"213","Pathway.KEGG_Primary bile acid biosynthesis",181,1,0,33,17,1,193.5
"214","Pathway.KEGG_Leukocyte transendothelial migration",181,0.372141809998055,1,33,112,1,53
"215","Pathway.KEGG_Gap junction",182,1,0,33,88,1,193.5
"216","Pathway.KEGG_Epithelial cell signaling in Helicobacter pylori infection",183,0.251833993861355,1,33,70,1,41
"217","Pathway.KEGG_Retinol metabolism",184,1,0,33,67,1,193.5
"218","Pathway.KEGG_Oxytocin signaling pathway",184,0.471377388210799,1,33,153,1,65
"219","Pathway.KEGG_Linoleic acid metabolism",185,1,0,33,29,1,193.5
"220","Pathway.KEGG_mRNA surveillance pathway",185,1,0,33,91,1,193.5
"221","Pathway.KEGG_Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",186,1,0,33,25,1,193.5
"226","Pathway.KEGG_alpha-Linolenic acid metabolism",190,1,0,33,25,1,193.5
"227","Pathway.KEGG_Gastric cancer",190,1,0,33,149,1,193.5
"228","Pathway.KEGG_Central carbon metabolism in cancer",190,1,0,33,69,1,193.5
"230","Pathway.KEGG_Mucin type O-glycan biosynthesis",192,1,0,33,31,1,193.5
"231","Pathway.KEGG_Other types of O-glycan biosynthesis",192,1,0,33,46,1,193.5
"232","Pathway.KEGG_Mannose type O-glycan biosynthesis",192,1,0,33,23,1,193.5
"233","Pathway.KEGG_Base excision repair",192,1,0,33,33,1,193.5
"234","Pathway.KEGG_Aldosterone synthesis and secretion",193,1,0,33,98,1,193.5
"235","Pathway.KEGG_Aldosterone-regulated sodium reabsorption",193,1,0,33,37,1,193.5
"236","Pathway.KEGG_Pentose and glucuronate interconversions",194,1,0,33,34,1,193.5
"238","Pathway.KEGG_SNARE interactions in vesicular transport",195,1,0,33,33,1,193.5
"239","Pathway.KEGG_IL-17 signaling pathway",195,1,0,33,94,1,193.5
"240","Pathway.KEGG_Sulfur metabolism",196,1,0,33,10,1,193.5
"241","Pathway.KEGG_Non-alcoholic fatty liver disease (NAFLD)",196,0.462408669682098,1,33,149,1,64
"242","Pathway.KEGG_Salivary secretion",196,1,0,33,90,1,193.5
"244","Pathway.KEGG_Vibrio cholerae infection",197,1,0,33,50,1,193.5
"245","Pathway.KEGG_Pyrimidine metabolism",198,1,0,33,57,1,193.5
"246","Pathway.KEGG_Glycerophospholipid metabolism",198,1,0,33,98,1,193.5
"247","Pathway.KEGG_Pancreatic cancer",198,1,0,33,76,1,193.5
"248","Pathway.KEGG_RNA polymerase",199,1,0,33,31,1,193.5
"249","Pathway.KEGG_Cardiac muscle contraction",199,1,0,33,86,1,193.5
"250","Pathway.KEGG_RNA transport",200,1,0,33,179,1,193.5
"252","Pathway.KEGG_Measles",201,1,0,33,138,1,193.5
"253","Pathway.KEGG_Porphyrin and chlorophyll metabolism",202,1,0,33,42,1,193.5
"254","Pathway.KEGG_Thermogenesis",203,0.245992114713246,2,33,231,1,39
"255","Pathway.KEGG_Protein digestion and absorption",203,1,0,33,95,1,193.5
"256","Pathway.KEGG_Hedgehog signaling pathway",204,1,0,33,50,1,193.5
"257","Pathway.KEGG_Oocyte meiosis",205,1,0,33,128,1,193.5
"258","Pathway.KEGG_Homologous recombination",206,1,0,33,41,1,193.5
"259","Pathway.KEGG_NOD-like receptor signaling pathway",206,1,0,33,181,1,193.5
"260","Pathway.KEGG_Cushing syndrome",206,1,0,33,155,1,193.5
"261","Pathway.KEGG_Pentose phosphate pathway",207,1,0,33,30,1,193.5
"262","Pathway.KEGG_Ether lipid metabolism",208,1,0,33,47,1,193.5
"263","Pathway.KEGG_Salmonella infection",208,1,0,33,214,1,193.5
"265","Pathway.KEGG_Glucagon signaling pathway",209,1,0,33,106,1,193.5
"266","Pathway.KEGG_Choline metabolism in cancer",209,1,0,33,98,1,193.5
"268","Pathway.KEGG_Bladder cancer",210,1,0,33,41,1,193.5
"269","Pathway.KEGG_Propanoate metabolism",211,1,0,33,34,1,193.5
"270","Pathway.KEGG_Butanoate metabolism",212,1,0,33,28,1,193.5
"272","Pathway.KEGG_Primary immunodeficiency",212,1,0,33,38,1,193.5
"273","Pathway.KEGG_Viral carcinogenesis",213,1,0,33,201,1,193.5
"274","Pathway.KEGG_Adherens junction",214,1,0,33,71,1,193.5
"275","Pathway.KEGG_Vasopressin-regulated water reabsorption",214,1,0,33,44,1,193.5
"276","Pathway.KEGG_Renal cell carcinoma",214,1,0,33,69,1,193.5
"278","Pathway.KEGG_2-Oxocarboxylic acid metabolism",216,1,0,33,18,1,193.5
"279","Pathway.KEGG_Chagas disease (American trypanosomiasis)",216,0.34532463262739,1,33,102,1,52
"280","Pathway.KEGG_Nucleotide excision repair",217,1,0,33,47,1,193.5
"283","Pathway.KEGG_Fat digestion and absorption",219,1,0,33,41,1,193.5
"285","Pathway.KEGG_Necroptosis",220,0.491029708342918,1,33,162,1,68.5
"286","Pathway.KEGG_Carbohydrate digestion and absorption",220,1,0,33,47,1,193.5
"289","Pathway.KEGG_Non-homologous end-joining",221,1,0,33,13,1,193.5
"290","Pathway.KEGG_Proteoglycans in cancer",221,1,0,33,204,1,193.5
"291","Pathway.KEGG_Thyroid cancer",221,1,0,33,37,1,193.5
"292","Pathway.KEGG_Rap1 signaling pathway",222,1,0,33,210,1,193.5
"293","Pathway.KEGG_Neuroactive ligand-receptor interaction",222,1,0,33,340,1,193.5
"294","Pathway.KEGG_Gastric acid secretion",222,1,0,33,75,1,193.5
"295","Pathway.KEGG_Mineral absorption",222,1,0,33,58,1,193.5
"296","Pathway.KEGG_C-type lectin receptor signaling pathway",223,1,0,33,104,1,193.5
"297","Pathway.KEGG_Regulation of lipolysis in adipocytes",223,1,0,33,55,1,193.5
"298","Pathway.KEGG_Ferroptosis",224,1,0,33,40,1,193.5
"299","Pathway.KEGG_African trypanosomiasis",224,1,0,33,37,1,193.5
"300","Pathway.KEGG_Human papillomavirus infection",225,0.751088348954124,1,33,330,1,79
"301","Pathway.KEGG_Kaposi sarcoma-associated herpesvirus infection",225,1,0,33,186,1,193.5
"302","Pathway.KEGG_Glycerolipid metabolism",226,1,0,33,61,1,193.5
"303","Pathway.KEGG_Glyoxylate and dicarboxylate metabolism",227,1,0,33,30,1,193.5
"304","Pathway.KEGG_RIG-I-like receptor signaling pathway",228,1,0,33,70,1,193.5
"305","Pathway.KEGG_Inflammatory mediator regulation of TRP channels",229,1,0,33,100,1,193.5
"306","Pathway.KEGG_Basal cell carcinoma",229,1,0,33,63,1,193.5
"307","Pathway.KEGG_Mismatch repair",230,1,0,33,23,1,193.5
"308","Pathway.KEGG_Bacterial invasion of epithelial cells",230,0.261121465288244,1,33,73,1,42
"309","Pathway.KEGG_Endocrine resistance",231,1,0,33,98,1,193.5
"310","Pathway.KEGG_Shigellosis",231,0.6278750771846,1,33,236,1,77
"311","Pathway.KEGG_PD-L1 expression and PD-1 checkpoint pathway in cancer",231,1,0,33,89,1,193.5
"312","Pathway.KEGG_Fanconi anemia pathway",232,1,0,33,54,1,193.5
"313","Pathway.KEGG_Cytosolic DNA-sensing pathway",232,1,0,33,63,1,193.5
"314","Pathway.KEGG_Platinum drug resistance",233,1,0,33,73,1,193.5
"315","Pathway.KEGG_Hippo signaling pathway",234,1,0,33,155,1,193.5
"316","Pathway.KEGG_Progesterone-mediated oocyte maturation",234,1,0,33,99,1,193.5
"317","Pathway.KEGG_Legionellosis",234,0.210263400966514,1,33,57,1,37
"318","Pathway.KEGG_Apelin signaling pathway",235,0.434608215675263,1,33,137,1,59.5
"319","Pathway.KEGG_Fc epsilon RI signaling pathway",235,0.245579561711486,1,33,68,1,38
"320","Pathway.KEGG_Phototransduction",235,1,0,33,28,1,193.5
"321","Pathway.KEGG_Relaxin signaling pathway",235,1,0,33,129,1,193.5
"322","Pathway.KEGG_Endocrine and other factor-regulated calcium reabsorption",235,0.197027879812412,1,33,53,1,36
"323","Pathway.KEGG_Amino sugar and nucleotide sugar metabolism",235,1,0,33,48,1,193.5
"324","Pathway.KEGG_Antifolate resistance",236,1,0,33,31,1,193.5
"325","Pathway.KEGG_Maturity onset diabetes of the young",236,1,0,33,26,1,193.5
"326","Pathway.KEGG_Collecting duct acid secretion",236,1,0,33,27,1,193.5
"327","Pathway.KEGG_Proximal tubule bicarbonate reclamation",237,1,0,33,23,1,193.5
"328","Pathway.KEGG_Yersinia infection",237,0.392825645162062,1,33,120,1,55
"329","Pathway.KEGG_Amoebiasis",237,1,0,33,102,1,193.5
