"","x","y","pval","Intersect","ADset_Size","not_ADset","pathway_Size","ratio_in","ratio_out","ratio_ratios","adj_pval_listWise"
"108","open_targets","Pathway.KEGG_Other glycan degradation",0.504214113453321,1,306,7707,18,0.0588235294117647,0.0395744128714156,1.48640308582449,0.910386593735164
"109","ADCL","Pathway.KEGG_Mucin type O-glycan biosynthesis",1,0,40,7973,31,0,0.00501693214599273,0,1
"110","ADGeneList","Pathway.KEGG_Mucin type O-glycan biosynthesis",1,0,466,7547,31,0,0.0617463892937591,0,1
"111","open_targets","Pathway.KEGG_Mucin type O-glycan biosynthesis",0.701603678049015,1,306,7707,31,0.0333333333333333,0.0395744128714156,0.842295081967213,1
"112","ADCL","Pathway.KEGG_Various types of N-glycan biosynthesis",1,0,40,7973,39,0,0.00501693214599273,0,1
"113","ADGeneList","Pathway.KEGG_Various types of N-glycan biosynthesis",0.903904942546863,1,466,7547,39,0.0263157894736842,0.061613886312442,0.427108092812677,1
"114","open_targets","Pathway.KEGG_Various types of N-glycan biosynthesis",0.442169266363273,2,306,7707,39,0.0540540540540541,0.0394446606980667,1.37037695590327,0.828379277887719
"115","ADCL","Pathway.KEGG_Other types of O-glycan biosynthesis",1,0,40,7973,46,0,0.00501693214599273,0,1
"116","ADGeneList","Pathway.KEGG_Other types of O-glycan biosynthesis",0.936967250627888,1,466,7547,46,0.0222222222222222,0.061613886312442,0.360669056152927,1
"117","open_targets","Pathway.KEGG_Other types of O-glycan biosynthesis",0.834074139538913,1,306,7707,46,0.0222222222222222,0.0395744128714156,0.561530054644809,1
"118","ADCL","Pathway.KEGG_Mannose type O-glycan biosynthesis",1,0,40,7973,23,0,0.00501693214599273,0,1
"119","ADGeneList","Pathway.KEGG_Mannose type O-glycan biosynthesis",0.748421545111604,1,466,7547,23,0.0454545454545455,0.061613886312442,0.737732160312806,0.914424820155155
"120","open_targets","Pathway.KEGG_Mannose type O-glycan biosynthesis",0.592122736074576,1,306,7707,23,0.0454545454545455,0.0395744128714156,1.14858420268256,0.991958191877512
"121","ADCL","Pathway.KEGG_Amino sugar and nucleotide sugar metabolism",1,0,40,7973,48,0,0.00501693214599273,0,1
"122","ADGeneList","Pathway.KEGG_Amino sugar and nucleotide sugar metabolism",0.944125768830924,1,466,7547,48,0.0212765957446809,0.061613886312442,0.345321436742164,1
"123","open_targets","Pathway.KEGG_Amino sugar and nucleotide sugar metabolism",1,0,306,7707,48,0,0.0397041650447645,0,1
"124","ADCL","Pathway.KEGG_Glycosaminoglycan degradation",1,0,40,7973,19,0,0.00501693214599273,0,1
"125","ADGeneList","Pathway.KEGG_Glycosaminoglycan degradation",1,0,466,7547,19,0,0.0617463892937591,0,1
"126","open_targets","Pathway.KEGG_Glycosaminoglycan degradation",1,0,306,7707,19,0,0.0397041650447645,0,1
"127","ADCL","Pathway.KEGG_Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",1,0,40,7973,20,0,0.00501693214599273,0,1
"128","ADGeneList","Pathway.KEGG_Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",1,0,466,7547,20,0,0.0617463892937591,0,1
"129","open_targets","Pathway.KEGG_Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",1,0,306,7707,20,0,0.0397041650447645,0,1
"130","ADCL","Pathway.KEGG_Glycosaminoglycan biosynthesis - keratan sulfate",1,0,40,7973,14,0,0.00501693214599273,0,1
"131","ADGeneList","Pathway.KEGG_Glycosaminoglycan biosynthesis - keratan sulfate",0.568079308276054,1,466,7547,14,0.0769230769230769,0.061613886312442,1.24846980976013,0.74445877092628
"132","open_targets","Pathway.KEGG_Glycosaminoglycan biosynthesis - keratan sulfate",0.42048193503545,1,306,7707,14,0.0769230769230769,0.0395744128714156,1.9437578814628,0.803862522861889
"133","ADCL","Pathway.KEGG_Glycosaminoglycan biosynthesis - heparan sulfate / heparin",0.11332652330484,1,40,7973,24,0.0434782608695652,0.00489150884234291,8.88851727982163,1
"134","ADGeneList","Pathway.KEGG_Glycosaminoglycan biosynthesis - heparan sulfate / heparin",1,0,466,7547,24,0,0.0617463892937591,0,1
"135","open_targets","Pathway.KEGG_Glycosaminoglycan biosynthesis - heparan sulfate / heparin",0.607743567458954,1,306,7707,24,0.0434782608695652,0.0395744128714156,1.09864575908767,0.998751779405725
"136","ADCL","Pathway.KEGG_Glycerolipid metabolism",1,0,40,7973,61,0,0.00501693214599273,0,1
"137","ADGeneList","Pathway.KEGG_Glycerolipid metabolism",0.280490073998361,5,466,7547,61,0.0892857142857143,0.0610838743871737,1.46169042454292,0.423996623485895
"138","open_targets","Pathway.KEGG_Glycerolipid metabolism",0.682879638387386,2,306,7707,61,0.0338983050847458,0.0394446606980667,0.859388938447814,1
"139","ADCL","Pathway.KEGG_Inositol phosphate metabolism",0.310663914270084,1,40,7973,74,0.0136986301369863,0.00489150884234291,2.80049174569722,1
"140","ADGeneList","Pathway.KEGG_Inositol phosphate metabolism",0.812966440195975,3,466,7547,74,0.0422535211267606,0.0613488803498079,0.688741520396678,0.953841491204664
"141","open_targets","Pathway.KEGG_Inositol phosphate metabolism",0.780617388220527,2,306,7707,74,0.0277777777777778,0.0394446606980667,0.70422149122807,1
"142","ADCL","Pathway.KEGG_Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",1,0,40,7973,25,0,0.00501693214599273,0,1
"143","ADGeneList","Pathway.KEGG_Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",1,0,466,7547,25,0,0.0617463892937591,0,1
"144","open_targets","Pathway.KEGG_Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",1,0,306,7707,25,0,0.0397041650447645,0,1
"145","ADCL","Pathway.KEGG_Glycerophospholipid metabolism",1,0,40,7973,98,0,0.00501693214599273,0,1
"146","ADGeneList","Pathway.KEGG_Glycerophospholipid metabolism",0.343639341968959,7,466,7547,98,0.0769230769230769,0.0608188684245396,1.26478967655438,0.503075613242846
"147","open_targets","Pathway.KEGG_Glycerophospholipid metabolism",0.978495580356465,1,306,7707,98,0.0103092783505155,0.0395744128714156,0.260503633598107,1
"148","ADCL","Pathway.KEGG_Ether lipid metabolism",1,0,40,7973,47,0,0.00501693214599273,0,1
"149","ADGeneList","Pathway.KEGG_Ether lipid metabolism",0.135649139227797,5,466,7547,47,0.119047619047619,0.0610838743871737,1.94892056605723,0.230816598162482
"150","open_targets","Pathway.KEGG_Ether lipid metabolism",0.540918320303283,2,306,7707,47,0.0444444444444444,0.0394446606980667,1.12675438596491,0.946067072361975
"151","ADCL","Pathway.KEGG_Arachidonic acid metabolism",1,0,40,7973,63,0,0.00501693214599273,0,1
"152","ADGeneList","Pathway.KEGG_Arachidonic acid metabolism",5.29138060598567e-05,13,466,7547,63,0.26,0.0600238505366371,4.3316114790287,0.00024923169520947
"153","open_targets","Pathway.KEGG_Arachidonic acid metabolism",0.434255551416201,3,306,7707,63,0.05,0.0393149085247178,1.27178217821782,0.820541012850381
"154","ADCL","Pathway.KEGG_Linoleic acid metabolism",1,0,40,7973,29,0,0.00501693214599273,0,1
"155","ADGeneList","Pathway.KEGG_Linoleic acid metabolism",0.084900697743932,4,466,7547,29,0.16,0.0612163773684908,2.61367965367965,0.155891111676711
"156","open_targets","Pathway.KEGG_Linoleic acid metabolism",1,0,306,7707,29,0,0.0397041650447645,0,1
"157","ADCL","Pathway.KEGG_alpha-Linolenic acid metabolism",1,0,40,7973,25,0,0.00501693214599273,0,1
"158","ADGeneList","Pathway.KEGG_alpha-Linolenic acid metabolism",0.175235194122238,3,466,7547,25,0.136363636363636,0.0613488803498079,2.22275672491655,0.287082081415862
"159","open_targets","Pathway.KEGG_alpha-Linolenic acid metabolism",1,0,306,7707,25,0,0.0397041650447645,0,1
"160","ADCL","Pathway.KEGG_Sphingolipid metabolism",1,0,40,7973,47,0,0.00501693214599273,0,1
"161","ADGeneList","Pathway.KEGG_Sphingolipid metabolism",1,0,466,7547,47,0,0.0617463892937591,0,1
"162","open_targets","Pathway.KEGG_Sphingolipid metabolism",0.840447092130992,1,306,7707,47,0.0217391304347826,0.0395744128714156,0.549322879543835,1
"163","ADCL","Pathway.KEGG_Glycosphingolipid biosynthesis - lacto and neolacto series",1,0,40,7973,27,0,0.00501693214599273,0,1
"164","ADGeneList","Pathway.KEGG_Glycosphingolipid biosynthesis - lacto and neolacto series",0.802184066031354,1,466,7547,27,0.0384615384615385,0.061613886312442,0.624234904880066,0.944600802391993
"165","open_targets","Pathway.KEGG_Glycosphingolipid biosynthesis - lacto and neolacto series",0.651117798955858,1,306,7707,27,0.0384615384615385,0.0395744128714156,0.9718789407314,1
"166","ADCL","Pathway.KEGG_Glycosphingolipid biosynthesis - globo and isoglobo series",1,0,40,7973,15,0,0.00501693214599273,0,1
"167","ADGeneList","Pathway.KEGG_Glycosphingolipid biosynthesis - globo and isoglobo series",1,0,466,7547,15,0,0.0617463892937591,0,1
"168","open_targets","Pathway.KEGG_Glycosphingolipid biosynthesis - globo and isoglobo series",1,0,306,7707,15,0,0.0397041650447645,0,1
"169","ADCL","Pathway.KEGG_Glycosphingolipid biosynthesis - ganglio series",1,0,40,7973,15,0,0.00501693214599273,0,1
"170","ADGeneList","Pathway.KEGG_Glycosphingolipid biosynthesis - ganglio series",1,0,466,7547,15,0,0.0617463892937591,0,1
"171","open_targets","Pathway.KEGG_Glycosphingolipid biosynthesis - ganglio series",1,0,306,7707,15,0,0.0397041650447645,0,1
"172","ADCL","Pathway.KEGG_Pyruvate metabolism",1,0,40,7973,39,0,0.00501693214599273,0,1
"173","ADGeneList","Pathway.KEGG_Pyruvate metabolism",0.0736080590871964,5,466,7547,39,0.147058823529412,0.0610838743871737,2.40749011101187,0.139898357914262
"174","open_targets","Pathway.KEGG_Pyruvate metabolism",1,0,306,7707,39,0,0.0397041650447645,0,1
"175","ADCL","Pathway.KEGG_Glyoxylate and dicarboxylate metabolism",1,0,40,7973,30,0,0.00501693214599273,0,1
"176","ADGeneList","Pathway.KEGG_Glyoxylate and dicarboxylate metabolism",0.252294160069036,3,466,7547,30,0.111111111111111,0.0613488803498079,1.81113510919126,0.394209625107869
"177","open_targets","Pathway.KEGG_Glyoxylate and dicarboxylate metabolism",1,0,306,7707,30,0,0.0397041650447645,0,1
"178","ADCL","Pathway.KEGG_Propanoate metabolism",1,0,40,7973,34,0,0.00501693214599273,0,1
"179","ADGeneList","Pathway.KEGG_Propanoate metabolism",0.132793672452558,4,466,7547,34,0.133333333333333,0.0612163773684908,2.17806637806638,0.227147071300429
"180","open_targets","Pathway.KEGG_Propanoate metabolism",0.734627029901329,1,306,7707,34,0.0303030303030303,0.0395744128714156,0.765722801788376,1
"181","ADCL","Pathway.KEGG_Butanoate metabolism",1,0,40,7973,28,0,0.00501693214599273,0,1
"182","ADGeneList","Pathway.KEGG_Butanoate metabolism",0.0765383184698132,4,466,7547,28,0.166666666666667,0.0612163773684908,2.72258297258297,0.144334634883481
"183","open_targets","Pathway.KEGG_Butanoate metabolism",0.664485937388053,1,306,7707,28,0.037037037037037,0.0395744128714156,0.935883424408015,1
"184","ADCL","Pathway.KEGG_One carbon pool by folate",1,0,40,7973,20,0,0.00501693214599273,0,1
"185","ADGeneList","Pathway.KEGG_One carbon pool by folate",0.00487021131960448,5,466,7547,20,0.333333333333333,0.0610838743871737,5.45697758496023,0.0137636406858387
"186","open_targets","Pathway.KEGG_One carbon pool by folate",0.541441462951776,1,306,7707,20,0.0526315789473684,0.0395744128714156,1.32993960310613,0.946067072361975
"187","ADCL","Pathway.KEGG_Thiamine metabolism",1,0,40,7973,16,0,0.00501693214599273,0,1
"188","ADGeneList","Pathway.KEGG_Thiamine metabolism",0.61694142195791,1,466,7547,16,0.0666666666666667,0.061613886312442,1.08200716845878,0.795658579906035
"189","open_targets","Pathway.KEGG_Thiamine metabolism",1,0,306,7707,16,0,0.0397041650447645,0,1
"190","ADCL","Pathway.KEGG_Nicotinate and nicotinamide metabolism",1,0,40,7973,37,0,0.00501693214599273,0,1
"191","ADGeneList","Pathway.KEGG_Nicotinate and nicotinamide metabolism",0.642788915952944,2,466,7547,37,0.0571428571428571,0.0614813833311249,0.929433497536946,0.812865360640882
"192","open_targets","Pathway.KEGG_Nicotinate and nicotinamide metabolism",1,0,306,7707,37,0,0.0397041650447645,0,1
"193","ADCL","Pathway.KEGG_Pantothenate and CoA biosynthesis",1,0,40,7973,19,0,0.00501693214599273,0,1
"194","ADGeneList","Pathway.KEGG_Pantothenate and CoA biosynthesis",0.680087091987313,1,466,7547,19,0.0555555555555556,0.061613886312442,0.901672640382318,0.850108864984142
"195","open_targets","Pathway.KEGG_Pantothenate and CoA biosynthesis",1,0,306,7707,19,0,0.0397041650447645,0,1
"196","ADCL","Pathway.KEGG_Folate biosynthesis",1,0,40,7973,26,0,0.00501693214599273,0,1
"197","ADGeneList","Pathway.KEGG_Folate biosynthesis",0.789927421272759,1,466,7547,26,0.04,0.061613886312442,0.649204301075269,0.944600802391993
"198","open_targets","Pathway.KEGG_Folate biosynthesis",0.261498062818557,2,306,7707,26,0.0833333333333333,0.0394446606980667,2.11266447368421,0.611416333928282
"199","ADCL","Pathway.KEGG_Retinol metabolism",1,0,40,7973,67,0,0.00501693214599273,0,1
