"Pathway"	"Genes"
"11"	"Pathway.KEGG_Synthesis and degradation of ketone bodies"	"HMGCS1, HMGCS2, HMGCL, HMGCLL1, ACAT1, ACAT2, BDH2, BDH1, OXCT1, OXCT2"
"12"	"Pathway.KEGG_Steroid biosynthesis"	"SC5D, EBP, DHCR7, DHCR24, CYP51A1, TM7SF2, LSS, LBR, NSDHL, MSMO1, HSD17B7, CEL, LIPA, SOAT1, SOAT2, CYP2R1, CYP27B1, CYP24A1, FDFT1, SQLE"
"13"	"Pathway.KEGG_Primary bile acid biosynthesis"	"CYP46A1, CYP7B1, CYP7A1, AKR1D1, AKR1C4, CYP27A1, AMACR, ACOX2, CH25H, HSD17B4, SCP2, SLC27A5, BAAT, HSD3B7, CYP8B1, CYP39A1, ACOT8"
"14"	"Pathway.KEGG_Ubiquinone and other terpenoid-quinone biosynthesis"	"COQ2, COQ3, HPD, TAT, COQ6, COQ5, COQ7, GGCX, VKORC1L1, VKORC1, NQO1"
"15"	"Pathway.KEGG_Steroid hormone biosynthesis"	"HSD17B1, HSD17B2, HSD17B12, HSD17B7, HSD17B8, HSD17B6, STS, SULT2B1, CYP11A1, CYP17A1, CYP21A2, HSD3B1, HSD3B2, CYP7B1, CYP11B1, CYP11B2, CYP3A7-CYP3A51P, CYP1A1, CYP1A2, CYP3A7, CYP3A5, AKR1C3, SRD5A1, SRD5A2, SRD5A3, AKR1C2, AKR1D1, AKR1C4, AKR1C1, HSD11B1, HSD11B2, DHRS11, HSD17B3, UGT2B11, UGT2A1, UGT2B28, UGT1A10, UGT1A8, UGT1A7, UGT1A6, UGT1A5, UGT1A9, UGT1A4, UGT1A1, UGT1A3, UGT2A2, UGT2B4, UGT2B7, UGT2B10, UGT2B15, UGT2B17, UGT2A3, CYP19A1, COMT, LRTOMT, CYP1B1, SULT1E1, CYP7A1, CYP2E1, CYP3A4"
"16"	"Pathway.KEGG_Oxidative phosphorylation"	"COX4I1, COX4I2, NDUFC2-KCTD14, NDUFC2, NDUFC1, NDUFB10, NDUFB9, NDUFB8, NDUFB7, NDUFB6, NDUFB5, NDUFB4, NDUFB3, NDUFB2, NDUFB1, NDUFA11, NDUFAB1, NDUFA10, NDUFA9, NDUFA8, NDUFA7, NDUFA6, NDUFA5, NDUFA4, NDUFA4L2, NDUFA3, NDUFA2, NDUFA1, NDUFV3, NDUFV2, NDUFV1, NDUFS8, NDUFS7, NDUFS6, NDUFS5, NDUFS4, NDUFS3, NDUFS2, NDUFS1, ND6, ND5, ND4L, ND4, ND3, ND2, ND1, COX17, COX15, COX11, NDUFA13, NDUFB11, NDUFA12, COX8A, COX8C, COX7C, COX7B, COX7B2, COX7A1, COX7A2, COX7A2L, COX6C, UQCR11, CYC1, UQCRQ, UQCR10, UQCRHL, CYTB, UQCRB, UQCRC1, UQCRC2, UQCRFS1, UQCRH, COX6B2, COX5B, COX6A1, COX6A2, COX6B1, COX1, COX2, COX3, COX5A, TCIRG1, ATP5PD, ATP5MG, ATP6V1G3, ATP6V0E2, ATP6V0A2, ATP6V0D2, ATP6V1C2, ATP6, ATP8, ATP5F1A, ATP5F1B, ATP6V0A4, ATP5F1C, ATP5F1D, ATP6V1D, ATP5F1E, ATP5PB, ATP5MC1, ATP6V1H, ATP5MC2, ATP5MC3, ATP5ME, ATP5PF, ATP6V1A, ATP6V1B1, ATP6V1B2, ATP6V0C, ATP6V1C1, ATP6V1E1, ATP6V0B, ATP6V1G2, ATP6V0A1, ATP6AP1, ATP5PO, ATP6V0E1, ATP6V1E2, ATP6V0D1, ATP6V1F, ATP6V1G1, ATP5MF, ATP12A, ATP4A, ATP4B, PPA2, PPA1, LHPP, SDHC, SDHD, SDHA, SDHB, COX10"
"17"	"Pathway.KEGG_Arginine biosynthesis"	"GLS2, GLS, GLUL, CPS1, OTC, ASS1, ASL, ARG1, ARG2, NAGS, ABHD14A-ACY1, ACY1, NOS1, NOS2, NOS3, GLUD1, GLUD2, GOT1, GOT2, GPT, GPT2"
"18"	"Pathway.KEGG_Purine metabolism"	"RRM2B, RRM1, RRM2, XDH, PRPS1L1, PRPS1, PRPS2, PPAT, GART, ATIC, ADSL, PAICS, PDE10A, PDE11A, PDE1A, PDE1C, PDE2A, PDE3A, PDE3B, PDE1B, ADCY1, ADCY2, ADCY3, ADCY5, ADCY6, ADCY7, ADCY8, ADCY9, ADCY4, ADCY10, ENTPD8, ENTPD1, ENTPD3, ENTPD2, NME6, AK9, NME7, NME1, NME2, NME3, NME4, NME1-NME2, AK6, AK7, AK8, AK1, AK2, AK4, AK5, LOC390877, ADSS1, ADSS2, AMPD1, AMPD2, AMPD3, NT5C1B-RDH14, NT5C3B, NT5C2, NT5C, NT5E, NT5C3A, NT5M, NT5C1A, NT5C1B, ADK, APRT, ADA, PNP, ADA2, GMPR, GMPR2, IMPDH1, IMPDH2, GMPS, CANT1, ENTPD6, ENTPD5, ENTPD4, HPRT1, GUK1, GDA, ALLC, HDDC3, PRUNE1, GUCY1A2, GUCY1A1, GUCY1B1, GUCY2C, GUCY2F, GUCY2D, NPR1, NPR2, PDE6A, PDE6C, PDE6D, PDE6G, PDE6H, PDE9A, PDE6B, PDE5A, PAPSS2, PAPSS1, PFAS, ITPA, NUDT2, DGUOK, PGM2, NUDT5, NUDT9, ADPRM, FHIT, ENPP4, PKLR, PKM, DCK, NTPCR, URAD, PDE7B, PDE4A, PDE4B, PDE4C, PDE4D, PDE7A, PDE8A, PDE8B, PGM1, NUDT16, AK3, ENPP1, ENPP3"
"19"	"Pathway.KEGG_Caffeine metabolism"	"CYP1A2, XDH, NAT2, NAT1, CYP2A6"
"20"	"Pathway.KEGG_Pyrimidine metabolism"	"RRM2B, RRM1, RRM2, CAD, UMPS, NME6, AK9, NME7, NME1, NME2, NME3, NME4, NME1-NME2, CMPK2, CMPK1, CTPS1, CTPS2, ENTPD8, ENTPD1, ENTPD3, CANT1, ENTPD6, ENTPD5, ENTPD4, UPRT, UCKL1, UCK2, UCK1, NT5C1B-RDH14, NT5C3B, NT5C2, NT5C, NT5E, NT5C3A, NT5M, NT5C1A, NT5C1B, UPP2, UPP1, DPYD, DPYS, UPB1, CDA, DCTPP1, DCK, DCTD, DTYMK, TK1, TK2, PNP, TYMP, TYMS, DHODH, ENPP1, ENPP3, NUDT2, DUT"
"21"	"Pathway.KEGG_Alanine, aspartate and glutamate metabolism"	"NIT2, ASNS, ASRGL1, NAT8L, IL4I1, GOT1, GOT2, DDO, ASS1, ADSS1, ADSS2, ASL, ADSL, AGXT, AGXT2, GPT, GPT2, CAD, ALDH5A1, GLUD1, GLUD2, ABAT, GAD1, GAD2, GLUL, GLS2, GLS, CPS1, ALDH4A1, GFPT1, GFPT2, PPAT, ASPA, RIMKLA, RIMKLB, FOLH1"
"22"	"Pathway.KEGG_Glycine, serine and threonine metabolism"	"SRR, CHDH, ALDH7A1, BHMT, AGXT, GAMT, PHGDH, DMGDH, CBSL, CBS, CTH, GATM, PSAT1, PIPOX, SARDH, PSPH, SHMT1, SHMT2, SDS, SDSL, DAO, GCAT, GLDC, ALAS1, ALAS2, MAOA, MAOB, GRHPR, AOC2, AOC3, AMT, DLD, GNMT, AGXT2, GLYCTK, PGAM4, PGAM1, PGAM2, BPGM, GCSH"
"23"	"Pathway.KEGG_Cysteine and methionine metabolism"	"TAT, ADI1, APIP, MRI1, MTAP, SRM, AMD1, CTH, CBSL, CBS, MTR, KYAT3, KYAT1, BHMT, MAT2B, MAT1A, MAT2A, AHCYL1, AHCY, AHCYL2, DNMT1, DNMT3A, DNMT3B, IL4I1, BHMT2, ENOPH1, SDS, SDSL, GOT1, GOT2, CDO1, MPST, TST, LDHAL6A, LDHA, LDHB, LDHC, LDHAL6B, SMS, MDH1, MDH2, BCAT1, BCAT2, AGXT2, GCLC, GCLM, GSS, PHGDH, PSAT1"
"24"	"Pathway.KEGG_Valine, leucine and isoleucine degradation"	"BCKDHA, BCKDHB, DLD, ACAT1, ACAT2, HMGCS1, HMGCS2, OXCT1, OXCT2, HMGCL, HMGCLL1, AUH, MCCC1, MCCC2, ECHS1, EHHADH, HADHA, IVD, BCAT1, BCAT2, ACAA2, ACAA1, HADHB, HADH, ACADSB, DBT, IL4I1, MMUT, MCEE, PCCA, PCCB, AOX1, ALDH2, ALDH1B1, ALDH9A1, ALDH3A2, ALDH7A1, ALDH6A1, ABAT, HSD17B10, HIBADH, HIBCH, ACADM, ACADS, ACAD8, ACSF3, AACS, AGXT2"
"25"	"Pathway.KEGG_Valine, leucine and isoleucine biosynthesis"	"SDS, SDSL, BCAT1, BCAT2"
"26"	"Pathway.KEGG_Lysine degradation"	"AASS, ECHS1, EHHADH, HADHA, HADH, ALDH7A1, AADAT, DLD, DLST, DHTKD1, ACAT1, ACAT2, GCDH, PIPOX, BBOX1, ALDH9A1, TMLHE, CAMKMT, EHMT2, PRDM7, SMYD1, EZH1, EZH2, SETD1B, KMT5A, KMT2A, NSD3, ASH1L, KMT2E, SMYD2, PRDM9, KMT2C, NSD1, SMYD3, SUV39H1, NSD2, PRDM2, SUV39H2, EHMT1, KMT2D, SETD7, SETDB2, DOT1L, PRDM6, SETD1A, KMT2B, SETDB1, COLGALT2, COLGALT1, PLOD3, KMT5B, SETMAR, KMT5C, PLOD1, PLOD2, SETD2, ALDH2, ALDH1B1, ALDH3A2, PHYKPL, HYKK"
"27"	"Pathway.KEGG_Arginine and proline metabolism"	"ARG1, ARG2, GATM, AOC1, ALDH2, ALDH1B1, ALDH9A1, ALDH3A2, ALDH7A1, SRM, AMD1, SMS, SAT2, SAT1, MAOA, MAOB, CARNS1, CNDP2, GAMT, CKB, CKM, CKMT1B, CKMT2, CKMT1A, AZIN2, AGMAT, CNDP1, SMOX, NOS1, NOS2, NOS3, OAT, PYCR2, PYCR1, PYCR3, LOC102724788, PRODH, ALDH4A1, ALDH18A1, DAO, P4HA3, P4HA1, P4HA2, PRODH2, GOT1, GOT2, HOGA1, L3HYPDH, LAP3, ODC1"
"28"	"Pathway.KEGG_Histidine metabolism"	"FTCD, AMDHD1, UROC1, HAL, CARNMT1, CNDP2, CARNS1, ALDH2, ALDH1B1, ALDH9A1, ALDH3A2, ALDH7A1, MAOA, MAOB, ALDH3A1, ALDH1A3, ALDH3B1, ALDH3B2, AOC1, HNMT, CNDP1, ASPA, HDC"
"29"	"Pathway.KEGG_Tyrosine metabolism"	"TPO, FAHD1, GSTZ1, HGD, GOT1, GOT2, MIF, HPD, ALDH3A1, ALDH1A3, ALDH3B1, ALDH3B2, MAOA, MAOB, TYR, IL4I1, TAT, DDC, AOC2, AOC3, AOX1, FAH, DCT, COMT, LRTOMT, ADH1A, ADH1B, ADH1C, ADH4, ADH5, ADH6, ADH7, PNMT, DBH, TH, TYRP1"
"30"	"Pathway.KEGG_Phenylalanine metabolism"	"ALDH3A1, ALDH1A3, ALDH3B1, ALDH3B2, DDC, AOC2, AOC3, MAOA, MAOB, HPD, TAT, GOT1, GOT2, MIF, IL4I1, GLYAT, PAH"
"31"	"Pathway.KEGG_Tryptophan metabolism"	"CAT, EHHADH, HADH, IDO2, IDO1, IL4I1, CYP1A1, CYP1A2, CYP1B1, ASMT, AANAT, MAOA, MAOB, DDC, AFMID, ACAT1, ACAT2, ECHS1, HADHA, GCDH, DLD, DLST, DHTKD1, ALDH8A1, ACMSD, HAAO, KYNU, KMO, TDO2, TPH2, TPH1, AADAT, KYAT3, KYAT1, ALDH2, ALDH1B1, ALDH9A1, ALDH3A2, ALDH7A1, AOX1, AOC1, INMT"
"32"	"Pathway.KEGG_Phenylalanine, tyrosine and tryptophan biosynthesis"	"TAT, IL4I1, PAH, GOT1, GOT2"
"33"	"Pathway.KEGG_beta-Alanine metabolism"	"ACADS, ECHS1, EHHADH, HADHA, HIBCH, MLYCD, ALDH6A1, ABAT, CARNS1, GAD1, GAD2, GADL1, AOC2, AOC3, ALDH2, ALDH1B1, ALDH9A1, ALDH3A2, ALDH7A1, UPB1, DPYS, DPYD, CNDP1, ALDH3A1, ALDH1A3, ALDH3B1, ALDH3B2, CNDP2, SMOX, ACOX1, ACOX3"
"34"	"Pathway.KEGG_Taurine and hypotaurine metabolism"	"CSAD, GAD1, GAD2, CDO1, ADO, GADL1, GGT6, GGT1, GGT7, GGT5, BAAT"
"35"	"Pathway.KEGG_Phosphonate and phosphinate metabolism"	"PCYT1A, PCYT1B, CEPT1, SELENOI, CHPT1, PCYT2"
"36"	"Pathway.KEGG_Selenocompound metabolism"	"TXNRD2, TXNRD3, TXNRD1, SEPHS2, SEPHS1, MARS1, MARS2, KYAT3, KYAT1, PSTK, SEPSECS, CTH, SCLY, PAPSS2, PAPSS1, MTR, INMT"
"37"	"Pathway.KEGG_D-Glutamine and D-glutamate metabolism"	"DGLUCY, GLUD1, GLUD2, GLS2, GLS"
"38"	"Pathway.KEGG_D-Arginine and D-ornithine metabolism"	"DAO"
"39"	"Pathway.KEGG_Glutathione metabolism"	"ANPEP, GGT6, GGT1, GGT7, GGT5, GPX6, GPX1, GPX2, GPX3, GPX5, GPX7, GPX8, GPX4, TXNDC12, G6PD, IDH1, IDH2, GSS, GCLC, GCLM, OPLAH, GGCT, NAT8B, NAT8, GSTO2, GSTA5, HPGDS, GSTA1, GSTA2, GSTA3, GSTA4, GSTM1, GSTM2, GSTM3, GSTM4, GSTM5, GSTP1, GSTT1, GSTT2, GSTK1, MGST1, MGST2, MGST3, GSTT2B, GSTO1, GSR, PGD, ODC1, SRM, SMS, RRM2B, RRM1, RRM2, LAP3, CHAC2, CHAC1"
"40"	"Pathway.KEGG_Starch and sucrose metabolism"	"GBA3, HK1, HK2, HK3, HKDC1, GAA, GANC, MGAM, MGAM2, SI, ENPP1, ENPP3, PGM2L1, UGP2, GYG1, GYS1, GYS2, GYG2, PGM1, PGM2, G6PC, G6PC2, G6PC3, GCK, GPI, GBE1, TREH, AMY1A, AMY1B, AMY1C, AMY2A, AMY2B, AGL, PYGB, PYGL, PYGM"
"41"	"Pathway.KEGG_N-Glycan biosynthesis"	"ALG14, DPM3, DPM2, ALG6, ALG12, ALG9, ALG3, MGAT5B, MGAT5, DOLPP1, FUT8, MGAT4C, B4GALT1, B4GALT3, B4GALT2, ST6GAL1, ST6GAL2, MGAT3, MGAT2, MAN2A2, MAN2A1, MAN1B1, MGAT4B, MGAT4A, MGAT4D, GANAB, MOGS, ALG11, STT3B, STT3A, ALG5, ALG2, ALG1, ALG13, DPM1, DPAGT1, DOLK, ALG10B, ALG10, ALG8, MAN1A2, MAN1A1, MAN1C1, MGAT1, DAD1, DDOST, RPN1, RPN2, TUSC3, SRD5A3"
"42"	"Pathway.KEGG_Other glycan degradation"	"NEU3, NEU4, NEU1, NEU2, GLB1, MAN2B2, MAN2C1, MAN2B1, FUCA1, FUCA2, AGA, HEXA, HEXB, HEXD, MANBA, ENGASE, GBA, GBA2"
"43"	"Pathway.KEGG_Mucin type O-glycan biosynthesis"	"GCNT3, GCNT1, B4GALT5, ST6GALNAC1, ST3GAL1, ST3GAL2, B3GNT6, POC1B-GALNT4, GALNT6, GALNT5, GALNT13, GALNT15, GALNTL5, GALNT1, GALNT2, GALNT3, GALNT8, GALNT18, GALNTL6, GALNT9, GALNT7, GALNT10, GALNT16, GALNT11, GALNT17, GALNT14, GALNT12, GALNT4, C1GALT1C1, C1GALT1, GCNT4"
"44"	"Pathway.KEGG_Various types of N-glycan biosynthesis"	"MAN1A2, MAN1A1, MAN1C1, ALG11, ALG9, ALG3, ALG12, ALG2, ALG1, ALG14, ALG13, DAD1, DDOST, STT3B, STT3A, RPN1, RPN2, TUSC3, MGAT1, MGAT2, B4GALNT3, B4GALNT4, FUT8, CHST8, CHST9, B4GALT1, B4GALT3, B4GALT2, ST3GAL3, MGAT4B, MGAT4A, MGAT4D, MGAT4C, MAN2A2, MAN2A1, HEXD, MAN1B1, HEXA, HEXB"
"45"	"Pathway.KEGG_Other types of O-glycan biosynthesis"	"COLGALT2, COLGALT1, PLOD3, B3GLCT, ST6GAL1, ST3GAL3, ST6GAL2, LFNG, MFNG, RFNG, B4GALT1, B4GALT3, B4GALT2, POFUT2, POFUT1, XXYLT1, POGLUT1, GXYLT1, GXYLT2, EOGT, OGT, POMT1, POMT2, C1GALT1C1, C1GALT1, POC1B-GALNT4, GALNT6, GALNT5, GALNT13, GALNT15, GALNTL5, GALNT1, GALNT2, GALNT3, GALNT8, GALNT18, GALNTL6, GALNT9, GALNT7, GALNT10, GALNT16, GALNT11, GALNT17, GALNT14, GALNT12, GALNT4"
"46"	"Pathway.KEGG_Mannose type O-glycan biosynthesis"	"B4GALT1, B4GALT3, B4GALT2, POMT1, POMT2, POMGNT1, ST3GAL3, B3GAT2, B3GAT1, CHST10, FUT9, FUT4, MGAT5B, POMGNT2, B3GALNT2, POMK, LARGE2, LARGE1, B4GAT1, CRPPA, FKTN, FKRP, RXYLT1"
"47"	"Pathway.KEGG_Amino sugar and nucleotide sugar metabolism"	"NAGK, PGM3, UAP1, UAP1L1, GNE, NANS, NANP, GNPDA1, GNPDA2, AMDHD2, GFPT1, GFPT2, GNPNAT1, RENBP, HEXA, HEXB, CHIT1, CHIA, NPL, HK1, HK2, HK3, HKDC1, CMAS, CYB5R3, CYB5R4, CYB5R2, CYB5R1, CYB5RL, GALT, GALE, UGDH, UXS1, MPI, PMM1, PMM2, PGM1, PGM2, GALK1, GMPPB, GMPPA, FPGT, FCSK, GMDS, TSTA3, GPI, UGP2, GCK"
"48"	"Pathway.KEGG_Neomycin, kanamycin and gentamicin biosynthesis"	"HK1, HK2, HK3, HKDC1, GCK"
"49"	"Pathway.KEGG_Glycosaminoglycan degradation"	"SGSH, HPSE2, HPSE, GNS, IDS, GALNS, IDUA, ARSB, GLB1, HYAL4, HYAL1, SPAM1, HYAL3, HYAL2, HGSNAT, HEXA, HEXB, NAGLU, GUSB"
"50"	"Pathway.KEGG_Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"	"B3GAT3, XYLT1, XYLT2, B4GALT7, CHSY1, CHSY3, CSGALNACT2, CSGALNACT1, CHPF, CHPF2, B3GALT6, CHST13, CHST11, CHST12, CHST7, CHST3, CHST15, UST, DSE, CHST14"
"51"	"Pathway.KEGG_Glycosaminoglycan biosynthesis - keratan sulfate"	"B3GNT2, B4GALT1, B4GALT3, B4GALT2, ST3GAL3, B4GALT4, B3GNT7, FUT8, CHST1, CHST6, ST3GAL1, ST3GAL2, CHST4, CHST2"
"52"	"Pathway.KEGG_Glycosaminoglycan biosynthesis - heparan sulfate / heparin"	"EXTL2, EXTL3, XYLT1, XYLT2, EXT1, EXT2, NDST1, NDST4, NDST2, NDST3, HS3ST2, HS3ST1, HS6ST2, HS3ST3B1, HS3ST3A1, HS6ST1, GLCE, B4GALT7, HS2ST1, EXTL1, B3GALT6, B3GAT3, HS6ST3, HS3ST5"
"53"	"Pathway.KEGG_Glycerolipid metabolism"	"CEL, PNLIPRP3, LIPC, PNLIP, PNLIPRP1, PNLIPRP2, PNPLA2, PNPLA3, LIPF, LIPG, MOGAT3, DGAT2, DGAT1, PLPP4, LPIN1, LPIN3, PLPP5, PLPP1, PLPP2, PLPP3, LPIN2, MOGAT1, MOGAT2, AGPAT1, AGPAT2, MBOAT2, MBOAT1, LCLAT1, AGPAT5, AGPAT3, AGPAT4, AGK, MGLL, GPAT4, GPAT2, GPAM, GPAT3, TKFC, GK, GK2, AKR1B1, AKR1B10, ALDH2, ALDH1B1, ALDH9A1, ALDH3A2, ALDH7A1, AKR1A1, LPL, GLA, DGKK, DGKA, DGKB, DGKG, DGKH, DGKQ, DGKZ, DGKE, DGKD, DGKI, GLYCTK"
"54"	"Pathway.KEGG_Inositol phosphate metabolism"	"PIP4K2A, PIP4K2C, PIP4K2B, INPP5B, OCRL, INPP5E, SYNJ1, SYNJ2, IPMK, PTEN, MINPP1, INPP5J, INPP5A, INPP5K, ITPKA, ITPKB, ITPKC, ITPK1, INPP1, INPP4A, INPP4B, MTM1, ISYNA1, IMPA1, IMPA2, IMPAD1, MIOX, PI4KA, PI4KB, PI4K2B, PI4K2A, PIP5KL1, PIP5K1C, PIP5K1A, PIP5K1B, PIK3C3, MTMR8, MTMR14, MTMR1, MTMR3, MTMR2, MTMR6, MTMR7, MTMR4, PLCD3, PLCH1, PLCB1, PLCE1, PLCB2, PLCB3, PLCB4, PLCD1, PLCG1, PLCG2, PLCD4, PLCZ1, PLCH2, IPPK, PIK3CA, PIK3CB, PIK3CD, PIK3CG, ALDH6A1, TPI1, PIKFYVE, CDIPT, PIK3C2A, PIK3C2B, PIK3C2G, INPP5D, INPPL1, INPP5F, SACM1L, FIG4"
"55"	"Pathway.KEGG_Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	"PIGY, DPM2, PIGQ, PIGP, PIGH, PIGC, PIGX, PIGU, PIGT, PIGS, PIGM, PIGF, PIGL, PIGK, PIGB, GPAA1, PGAP1, PIGN, PIGA, GPLD1, PIGO, PIGW, PIGV, PIGZ, PIGG"
"56"	"Pathway.KEGG_Glycerophospholipid metabolism"	"PTDSS2, PTDSS1, GNPAT, LPCAT3, LPCAT4, LPCAT2, LPCAT1, CEPT1, CHPT1, PCYT1A, PCYT1B, CHKA, CHKB, ACHE, CHAT, PCYT2, ETNK2, ETNK1, PLAAT3, PLA2G4B, PLA2G4E, PLB1, PLA2G4F, PLA2G2D, PLA2G4D, PLA2G2E, PLA2G2C, PLA2G3, PLA2G1B, PLA2G2A, PLA2G4A, PLA2G5, PLA2G2F, PLA2G12A, PLA2G6, PLA2G10, PLA2G12B, PLA2G4C, JMJD7-PLA2G4B, DGKK, DGKA, DGKB, DGKG, DGKH, DGKQ, DGKZ, DGKE, DGKD, DGKI, PLPP4, LPIN1, LPIN3, PLPP5, PLPP1, PLPP2, PLPP3, LPIN2, PLD4, PLD3, PLD1, PLD2, AGPAT1, AGPAT2, MBOAT2, MBOAT1, LCLAT1, AGPAT5, AGPAT3, AGPAT4, CDIPT, PHOSPHO1, GPAT4, GPAT2, GPAM, GPAT3, GPD1L, GPD1, GPD2, LCAT, GPCPD1, SELENOI, LYPLA1, PNPLA6, PNPLA7, LYPLA2, CDS1, CDS2, ADPRM, PISD, PEMT, PLA2G15, PGS1, CRLS1, MBOAT7, TAZ, LPGAT1, ETNPPL, PLA1A"
"57"	"Pathway.KEGG_Ether lipid metabolism"	"AGPS, PLPP1, PLPP2, PLPP3, CEPT1, CHPT1, SELENOI, PAFAH1B1, PAFAH1B2, PAFAH1B3, PAFAH2, PLA2G7, PLA2G4B, PLAAT3, PLA2G4E, PLB1, PLA2G4F, PLA2G2D, PLA2G4D, PLA2G2E, PLA2G2C, PLA2G3, PLA2G1B, PLA2G2A, PLA2G4A, PLA2G5, PLA2G2F, PLA2G12A, PLA2G6, PLA2G10, PLA2G12B, PLA2G4C, JMJD7-PLA2G4B, LPCAT2, LPCAT1, LPCAT4, TMEM86B, PLD4, PLD3, PLD1, PLD2, GDPD1, ENPP2, GDPD3, ENPP6, UGT8, GAL3ST1"
