target.gene_info.symbol,target.id,association_score.overall,association_score.datatypes.genetic_association,association_score.datatypes.somatic_mutation,association_score.datatypes.known_drug,association_score.datatypes.affected_pathway,association_score.datatypes.rna_expression,association_score.datatypes.literature,association_score.datatypes.animal_model,target.gene_info.name
ACHE,ENSG00000087085,1.0,0.0,0.0,1.0,0.0,0.0,0.09404546712299162,0.0,acetylcholinesterase (Cartwright blood group)
GRIN3B,ENSG00000116032,1.0,0.07366933391842348,0.0,1.0,0.0,0.0,0.0292,0.0,glutamate ionotropic receptor NMDA type subunit 3B
CD33,ENSG00000105383,1.0,1.0,0.0,0.0,0.0,0.0,0.08445068853457759,0.0,CD33 molecule
PTGS2,ENSG00000073756,1.0,0.0,0.0,1.0,0.0,0.0,0.08131087103382771,0.0,prostaglandin-endoperoxide synthase 2
HTR6,ENSG00000158748,1.0,0.0,0.0,1.0,0.0,0.0,0.0809183308134573,0.0,5-hydroxytryptamine receptor 6
PPARG,ENSG00000132170,1.0,0.0,0.0,1.0,0.0,0.0,0.078076930558638,0.0,peroxisome proliferator activated receptor gamma
OGG1,ENSG00000114026,1.0,0.0,0.0,0.0,1.0,0.0,0.07477357608969513,0.0,8-oxoguanine DNA glycosylase
CDK5,ENSG00000164885,1.0,0.0,0.0,0.0,1.0,0.02953621309685188,0.060894622259566905,0.0,cyclin dependent kinase 5
CR1,ENSG00000203710,1.0,1.0,0.0,0.0,0.0,0.0,0.07215215153634601,0.0,complement C3b/C4b receptor 1 (Knops blood group)
GRIN2A,ENSG00000183454,1.0,0.0,0.0,1.0,0.0,0.006375599176589232,0.06858363555051651,0.0,glutamate ionotropic receptor NMDA type subunit 2A
BIN1,ENSG00000136717,1.0,1.0,0.0,0.0,0.0,0.0,0.07097605298953596,0.0,bridging integrator 1
GRIN2B,ENSG00000273079,1.0,0.0014318184593545091,0.0,1.0,0.0,0.01078869304600965,0.06315172176705108,0.0,glutamate ionotropic receptor NMDA type subunit 2B
NCSTN,ENSG00000162736,1.0,0.0,0.0,1.0,0.0,0.0,0.06587771592952782,0.0,nicastrin
HTR2A,ENSG00000102468,1.0,0.0,0.0,1.0,0.0,0.016172591419152265,0.05744405693864076,0.0,5-hydroxytryptamine receptor 2A
CD2AP,ENSG00000198087,1.0,1.0,0.0,0.0,0.0,0.0,0.064458475526191,0.0,CD2 associated protein
DRD2,ENSG00000149295,1.0,0.0,0.0,1.0,0.0,0.0,0.061344707482993206,0.0,dopamine receptor D2
SLC6A4,ENSG00000108576,1.0,0.0,0.0,1.0,0.0,0.0,0.05892949028295617,0.0,solute carrier family 6 member 4
ADRB1,ENSG00000043591,1.0,0.0,0.0,1.0,0.0,0.017577774532650216,0.051111111111111114,0.0,adrenoceptor beta 1
CAST,ENSG00000153113,1.0,0.0,0.0,0.0,1.0,0.0,0.058270629602503766,0.0,calpastatin
HFE,ENSG00000010704,1.0,1.0,0.0,0.0,0.0,0.0,0.056003970206271445,0.0,homeostatic iron regulator
SLC6A2,ENSG00000103546,1.0,0.0,0.0,1.0,0.0,0.0,0.05503200907029479,0.0,solute carrier family 6 member 2
HTR1A,ENSG00000178394,1.0,0.0,0.0,1.0,0.0,0.0,0.05489177435278288,0.0,5-hydroxytryptamine receptor 1A
TRPV1,ENSG00000196689,1.0,0.0,0.0,1.0,0.0,0.0,0.05351355555555556,0.0,transient receptor potential cation channel subfamily V member 1
PRDX2,ENSG00000167815,1.0,0.0,0.0,0.0,1.0,0.042202604254154175,0.024947888888888888,0.0,peroxiredoxin 2
PSENEN,ENSG00000205155,1.0,0.0,0.0,1.0,0.0,0.0,0.0490747664399093,0.0,"presenilin enhancer, gamma-secretase subunit"
ADRB2,ENSG00000169252,1.0,0.0,0.0,1.0,0.0,0.0,0.0480887664399093,0.0,adrenoceptor beta 2
CHRNB2,ENSG00000160716,1.0,0.022588232532143593,0.0,1.0,0.0,0.0,0.037500000000000006,0.0,cholinergic receptor nicotinic beta 2 subunit
PTGS1,ENSG00000095303,1.0,0.0,0.0,1.0,0.0,0.0,0.046942334421783444,0.0,prostaglandin-endoperoxide synthase 1
CHRNA4,ENSG00000101204,1.0,0.0,0.0,1.0,0.0,0.0,0.045555555555555564,0.0,cholinergic receptor nicotinic alpha 4 subunit
JUN,ENSG00000177606,1.0,0.0,0.0,0.0,1.0,0.0,0.04546566666666666,0.0,"Jun proto-oncogene, AP-1 transcription factor subunit"
STAT4,ENSG00000138378,1.0,0.0,0.0,0.0,1.0,0.04460921421453022,0.0,0.0,signal transducer and activator of transcription 4
CDK5R1,ENSG00000176749,1.0,0.0,0.0,0.0,1.0,0.0,0.04261388888888889,0.0,cyclin dependent kinase 5 regulatory subunit 1
GRIN1,ENSG00000176884,1.0,0.0,0.0,1.0,0.0,0.0,0.04211253772990678,0.0,glutamate ionotropic receptor NMDA type subunit 1
LMNA,ENSG00000160789,1.0,0.0,0.0,0.0,1.0,0.0,0.0416,0.0,lamin A/C
FRMD4A,ENSG00000151474,1.0,0.9999426272180345,0.0,0.0,0.0,0.023463751396430636,0.029733333333333334,0.0,FERM domain containing 4A
SIGMAR1,ENSG00000147955,1.0,0.0,0.0,1.0,0.0,0.0,0.039278266439909296,0.0,sigma non-opioid intracellular receptor 1
PRDX1,ENSG00000117450,1.0,0.0,0.0,0.0,1.0,0.023620932256113433,0.028399999999999998,0.0,peroxiredoxin 1
APH1A,ENSG00000117362,1.0,0.0,0.0,1.0,0.0,0.0,0.038544444444444444,0.0,"aph-1 homolog A, gamma-secretase subunit"
CHRNA7,ENSG00000175344,1.0,0.0,0.0,0.9964256094797214,0.0,0.0,0.05258653741496598,0.0,cholinergic receptor nicotinic alpha 7 subunit
GABBR1,ENSG00000204681,1.0,0.0,0.0,1.0,0.0,0.01678076715021196,0.028000000000000004,0.0,gamma-aminobutyric acid type B receptor subunit 1
GRIN3A,ENSG00000198785,1.0,0.0,0.0,1.0,0.0,0.0,0.0335,0.0,glutamate ionotropic receptor NMDA type subunit 3A
CAPN1,ENSG00000014216,1.0,0.0,0.0,0.0,1.0,0.0,0.030000000000000006,0.0,calpain 1
GRIN2D,ENSG00000105464,1.0,0.0,0.0,1.0,0.0,0.0,0.02818888888888889,0.0,glutamate ionotropic receptor NMDA type subunit 2D
CAPNS1,ENSG00000126247,1.0,0.0,0.0,0.0,1.0,0.025503614554277278,0.0,0.0,calpain small subunit 1
GRIN2C,ENSG00000161509,1.0,0.011956687085330486,0.0,1.0,0.0,0.011264822672468757,0.0165,0.0,glutamate ionotropic receptor NMDA type subunit 2C
SCN8A,ENSG00000196876,1.0,0.0,0.0,1.0,0.0,0.0,0.023600000000000003,0.0,sodium voltage-gated channel alpha subunit 8
LMNB1,ENSG00000113368,1.0,0.0,0.0,0.0,1.0,0.0,0.020797000000000006,0.0,lamin B1
ADRA1A,ENSG00000120907,1.0,0.020791194401681423,0.0,1.0,0.0,0.0,0.0,0.0,adrenoceptor alpha 1A
GOLGA2,ENSG00000167110,1.0,0.0,0.0,0.0,1.0,0.01625689906598057,0.0,0.0,golgin A2
SCN5A,ENSG00000183873,1.0,0.0,0.0,1.0,0.0,0.0,0.014400000000000003,0.0,sodium voltage-gated channel alpha subunit 5
SCN2A,ENSG00000136531,1.0,0.0,0.0,1.0,0.0,0.013296172422918263,0.0,0.0,sodium voltage-gated channel alpha subunit 2
GABBR2,ENSG00000136928,1.0,0.0,0.0,1.0,0.0,0.008272046275846892,0.0,0.0,gamma-aminobutyric acid type B receptor subunit 2
SCN4A,ENSG00000007314,1.0,0.008155615107777217,0.0,1.0,0.0,0.0,0.0,0.0,sodium voltage-gated channel alpha subunit 4
SCN3A,ENSG00000153253,1.0,0.0,0.0,1.0,0.0,0.006386320271241431,0.0,0.0,sodium voltage-gated channel alpha subunit 3
CAPNS2,ENSG00000256812,1.0,0.0,0.0,0.0,1.0,0.0,0.006,0.0,calpain small subunit 2
CAPN2,ENSG00000162909,1.0,0.0,0.0,0.0,1.0,0.005108393796192537,0.0,0.0,calpain 2
PDE3A,ENSG00000172572,1.0,0.004655265921953427,0.0,1.0,0.0,0.0,0.0,0.0,phosphodiesterase 3A
SCN1A,ENSG00000144285,1.0,0.0,0.0,1.0,0.0,0.0038615979298799934,0.0,0.0,sodium voltage-gated channel alpha subunit 1
FOXO3,ENSG00000118689,1.0,0.003371807070845098,0.0,0.0,1.0,0.0,0.0,0.0,forkhead box O3
ADRB3,ENSG00000188778,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,adrenoceptor beta 3
SCN10A,ENSG00000185313,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,sodium voltage-gated channel alpha subunit 10
ADRA1D,ENSG00000171873,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,adrenoceptor alpha 1D
ADRA1B,ENSG00000170214,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,adrenoceptor alpha 1B
SCN9A,ENSG00000169432,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,sodium voltage-gated channel alpha subunit 9
SCN11A,ENSG00000168356,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,sodium voltage-gated channel alpha subunit 11
CDC25A,ENSG00000164045,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,cell division cycle 25A
CDC25C,ENSG00000158402,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,cell division cycle 25C
CACNA2D1,ENSG00000153956,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,calcium voltage-gated channel auxiliary subunit alpha2delta 1
SCN7A,ENSG00000136546,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,sodium voltage-gated channel alpha subunit 7
FAAH,ENSG00000117480,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,fatty acid amide hydrolase
CDC25B,ENSG00000101224,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,cell division cycle 25B
EPHA1,ENSG00000146904,0.9920694504455484,0.9772327386869155,0.0,0.0,0.0,0.0,0.05934684703453142,0.0,EPH receptor A1
ECHDC3,ENSG00000134463,0.9853290323375979,0.978229032337598,0.0,0.0,0.0,0.0,0.028399999999999998,0.0,enoyl-CoA hydratase domain containing 3
SLC24A4,ENSG00000140090,0.9778736049638854,0.968234021630552,0.0,0.0,0.0,0.0,0.03855833333333335,0.0,solute carrier family 24 member 4
GLIS3,ENSG00000107249,0.9632049155712128,0.9594049155712128,0.0,0.0,0.0,0.0,0.0152,0.0,GLIS family zinc finger 3
BACE1,ENSG00000186318,0.9501591452656978,0.0,0.0,0.9122908163265306,0.0,0.0,0.15147331575666856,0.0,beta-secretase 1
CASS4,ENSG00000087589,0.9464179674558639,0.927874967455864,0.0,0.0,0.0,0.0,0.07417200000000002,0.0,Cas scaffold protein family member 4
USP6NL,ENSG00000148429,0.9386217729787841,0.9386217729787841,0.0,0.0,0.0,0.0,0.0,0.0,USP6 N-terminal like
INPP5D,ENSG00000168918,0.9294446710959671,0.9173652827739716,0.0,0.0,0.0,0.0,0.04831755328798186,0.0,inositol polyphosphate-5-phosphatase D
PICALM,ENSG00000073921,0.9229682591666097,0.8972484250643646,0.0,0.0,0.0,0.0,0.10287933640898046,0.0,phosphatidylinositol binding clathrin assembly protein
ACE,ENSG00000159640,0.9091705825238008,0.8928751709560553,0.0,0.0,0.0,0.0,0.06518164627098193,0.0,angiotensin I converting enzyme
ANKRD55,ENSG00000164512,0.9032098054885864,0.9032098054885864,0.0,0.0,0.0,0.0,0.0,0.0,ankyrin repeat domain 55
TOMM40,ENSG00000130204,0.897422084468778,0.8810166683510756,0.0,0.0,0.0,0.0,0.07656527680605534,0.0,translocase of outer mitochondrial membrane 40
SCARB1,ENSG00000073060,0.8971307926177978,0.8822557926177979,0.0,0.0,0.0,0.0,0.059500000000000004,0.0,scavenger receptor class B member 1
MMP1,ENSG00000196611,0.8937460566054708,0.05876694247126579,0.0,0.875,0.0,0.0,0.03648888888888889,0.0,matrix metallopeptidase 1
CLMN,ENSG00000165959,0.8891917960617759,0.8845582008361816,0.0,0.0,0.0,0.018534380902376926,0.0,0.0,calmin
MMP13,ENSG00000137745,0.8860948647687832,0.020903782919049263,0.0,0.875,0.0,0.0,0.03508888888888889,0.0,matrix metallopeptidase 13
FBXL7,ENSG00000183580,0.8813329681396485,0.8754329681396484,0.0,0.0,0.0,0.0,0.023600000000000003,0.0,F-box and leucine rich repeat protein 7
MMP7,ENSG00000137673,0.8810679345114364,0.008486410602927208,0.0,0.875,0.0,0.0,0.020500000000000004,0.0,matrix metallopeptidase 7
MMP8,ENSG00000118113,0.8802725155837834,0.021090062335133553,0.0,0.875,0.0,0.0,0.0,0.0,matrix metallopeptidase 8
MTHFD1L,ENSG00000120254,0.8767166329489814,0.8649388551712036,0.0,0.0,0.0,0.0,0.04711111111111111,0.0,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like
PTPRG,ENSG00000144724,0.876085181427002,0.867760181427002,0.0,0.0,0.0,0.0,0.0333,0.0,protein tyrosine phosphatase receptor type G
TCF7L2,ENSG00000148737,0.8724624884874035,0.8598127961158752,0.0,0.0,0.0,0.02339723134375401,0.0402,0.0,transcription factor 7 like 2
APOC1,ENSG00000130208,0.8683241187524666,0.8491605767198678,0.0,0.0,0.0,0.0,0.07665416813039524,0.0,apolipoprotein C1
ABCA1,ENSG00000165029,0.8661716302849417,0.8480049298424949,0.0,0.0,0.0,0.0,0.07277115983788082,0.0,ATP binding cassette subfamily A member 1
GAB2,ENSG00000033327,0.8655920564668378,0.7645657062530518,0.0,0.0,0.375,0.0,0.06548715192407428,0.0,GRB2 associated binding protein 2
TECRL,ENSG00000205678,0.8556475043296814,0.8556475043296814,0.0,0.0,0.0,0.0,0.0,0.0,"trans-2,3-enoyl-CoA reductase like"
LIPG,ENSG00000101670,0.8471415042877197,0.8471415042877197,0.0,0.0,0.0,0.0,0.0,0.0,"lipase G, endothelial type"
BZW2,ENSG00000136261,0.8446987867355347,0.8446987867355347,0.0,0.0,0.0,0.0,0.0,0.0,basic leucine zipper and W2 domains 2
MYO16,ENSG00000041515,0.8420547246932983,0.8420547246932983,0.0,0.0,0.0,0.0,0.0,0.0,myosin XVI
PDE7B,ENSG00000171408,0.8342180289328098,0.8342180289328098,0.0,0.0,0.0,0.0,0.0,0.0,phosphodiesterase 7B
ESR2,ENSG00000140009,0.8159294867084167,0.0,0.0,0.7975408163265306,0.0,0.0,0.07355468152754423,0.0,estrogen receptor 2
ANKRD31,ENSG00000145700,0.8137472867965698,0.8137472867965698,0.0,0.0,0.0,0.0,0.0,0.0,ankyrin repeat domain 31
ESR1,ENSG00000091831,0.8003511241918249,0.002383566171145883,0.0,0.7847222222222222,0.0,0.0,0.061456245135678975,0.0,estrogen receptor 1
TGM6,ENSG00000166948,0.7992342710494995,0.7992342710494995,0.0,0.0,0.0,0.0,0.0,0.0,transglutaminase 6
MMP3,ENSG00000149968,0.789807103175856,0.7759389877319336,0.0,0.0,0.0,0.0,0.055472461775689784,0.0,matrix metallopeptidase 3
DRD3,ENSG00000151577,0.7845450555555555,0.0,0.0,0.7722222222222223,0.0,0.0,0.04929133333333334,0.0,dopamine receptor D3
CNTNAP5,ENSG00000155052,0.7834941744804382,0.7834941744804382,0.0,0.0,0.0,0.0,0.0,0.0,contactin associated protein family member 5
DPP10,ENSG00000175497,0.7830596536431019,0.7751756310462952,0.0,0.0,0.0,0.007056203371260507,0.028399999999999998,0.0,dipeptidyl peptidase like 10
DRD4,ENSG00000069696,0.7806472222222223,0.0,0.0,0.7722222222222223,0.0,0.0,0.0337,0.0,dopamine receptor D4
PDGFRB,ENSG00000113721,0.7709997222222221,0.0,0.0,0.7611111111111111,0.0,0.0,0.03955444444444444,0.0,platelet derived growth factor receptor beta
IL6R,ENSG00000160712,0.7684547654151916,0.7643547654151917,0.0,0.0,0.0,0.0,0.016400000000000005,0.0,interleukin 6 receptor
KIT,ENSG00000157404,0.7647111111111111,0.0,0.0,0.7611111111111111,0.0,0.0,0.014400000000000003,0.0,"KIT proto-oncogene, receptor tyrosine kinase"
ALDH5A1,ENSG00000112294,0.7634589527533028,0.0,0.0,0.76,0.0,0.013835811013210998,0.0,0.0,aldehyde dehydrogenase 5 family member A1
NR3C1,ENSG00000113580,0.7634191524006861,0.0,0.0,0.75,0.0,0.0,0.05367660960274448,0.0,nuclear receptor subfamily 3 group C member 1
FGFR3,ENSG00000068078,0.7618803496379779,0.0,0.0,0.75,0.0,0.01737314674180087,0.0398,0.0,fibroblast growth factor receptor 3
NECTIN2,ENSG00000130202,0.7597025434806829,0.7504405837250296,0.0,0.0,0.0,0.0,0.041144444444444435,0.0,nectin cell adhesion molecule 2
MAN2A1,ENSG00000112893,0.7573081851005554,0.7573081851005554,0.0,0.0,0.0,0.0,0.0,0.0,mannosidase alpha class 2A member 1
EDAR,ENSG00000135960,0.7505485832214356,0.7468485832214355,0.0,0.0,0.0,0.0,0.014800000000000002,0.0,ectodysplasin A receptor
PDGFRA,ENSG00000134853,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,platelet derived growth factor receptor alpha
CNTNAP2,ENSG00000174469,0.7234829672918374,0.7144456747919321,0.0,0.0,0.0,0.003035632499147362,0.0348,0.0,contactin associated protein 2
PDE5A,ENSG00000138735,0.7135332429877929,0.0,0.0,0.7,0.0,0.0,0.054132971951171754,0.0,phosphodiesterase 5A
APOB,ENSG00000084674,0.7124362542894151,0.7028355598449707,0.0,0.0,0.0,0.0,0.038402777777777786,0.0,apolipoprotein B
HTR2C,ENSG00000147246,0.7101858491890084,0.0,0.0,0.7,0.0,0.004837642701076144,0.03859333333333334,0.0,5-hydroxytryptamine receptor 2C
VDR,ENSG00000111424,0.7081307103372635,0.0,0.0,0.7,0.0,0.0,0.03252284134905411,0.0,vitamin D receptor
ADRA2A,ENSG00000150594,0.7041,0.0,0.0,0.7,0.0,0.0,0.016399999999999998,0.0,adrenoceptor alpha 2A
FERMT2,ENSG00000073712,0.7006583925611264,0.6891490817070007,0.0,0.0,0.0,0.009021823197335003,0.042027544217687084,0.0,fermitin family member 2
ADRA2B,ENSG00000274286,0.7,0.0,0.0,0.7,0.0,0.0,0.0,0.0,adrenoceptor alpha 2B
ADRA2C,ENSG00000184160,0.7,0.0,0.0,0.7,0.0,0.0,0.0,0.0,adrenoceptor alpha 2C
CHRNA9,ENSG00000174343,0.7,0.0,0.0,0.7,0.0,0.0,0.0,0.0,cholinergic receptor nicotinic alpha 9 subunit
CHRNA10,ENSG00000129749,0.7,0.0,0.0,0.7,0.0,0.0,0.0,0.0,cholinergic receptor nicotinic alpha 10 subunit
PILRA,ENSG00000085514,0.6995619828806983,0.6866480939918094,0.0,0.0,0.0,0.0,0.05165555555555556,0.0,paired immunoglobin like type 2 receptor alpha
SCARA3,ENSG00000168077,0.6934116648123438,0.6890116648123439,0.0,0.0,0.0,0.0,0.0176,0.0,scavenger receptor class A member 3
ZNF652,ENSG00000198740,0.690795652102679,0.690795652102679,0.0,0.0,0.0,0.0,0.0,0.0,zinc finger protein 652
NFIC,ENSG00000141905,0.6855203823233449,0.6780531406402588,0.0,0.0,0.0,0.02986896673234432,0.0,0.0,nuclear factor I C
BCL3,ENSG00000069399,0.6809964767509775,0.6809964767509775,0.0,0.0,0.0,0.0,0.0,0.0,BCL3 transcription coactivator
IQCK,ENSG00000174628,0.6750965672545135,0.6750965672545135,0.0,0.0,0.0,0.0,0.0,0.0,IQ motif containing K
DSG2,ENSG00000046604,0.6664787178092533,0.6601398289203644,0.0,0.0,0.0,0.0,0.025355555555555558,0.0,desmoglein 2
PTK2B,ENSG00000120899,0.6597208789301733,0.6394518159728254,0.0,0.0,0.0,0.0,0.08107625182939153,0.0,protein tyrosine kinase 2 beta
SLC10A2,ENSG00000125255,0.6534644504547119,0.6463644504547119,0.0,0.0,0.0,0.0,0.028399999999999998,0.0,solute carrier family 10 member 2
TSPOAP1,ENSG00000005379,0.6531589191344049,0.6494589191344049,0.0,0.0,0.0,0.0,0.014800000000000002,0.0,TSPO associated protein 1
CRADD,ENSG00000169372,0.6527230143547058,0.6527230143547058,0.0,0.0,0.0,0.0,0.0,0.0,CASP2 and RIPK1 domain containing adaptor with death domain
ALDH1A2,ENSG00000128918,0.646866063419212,0.646866063419212,0.0,0.0,0.0,0.0,0.0,0.0,aldehyde dehydrogenase 1 family member A2
DBN1,ENSG00000113758,0.6394561692612977,0.625,0.0,0.0,0.0,0.0,0.057824677045190856,0.0,drebrin 1
JCAD,ENSG00000165757,0.606725624370575,0.600925624370575,0.0,0.0,0.0,0.0,0.0232,0.0,junctional cadherin 5 associated
NPAS2,ENSG00000170485,0.6030322313308716,0.6030322313308716,0.0,0.0,0.0,0.0,0.0,0.0,neuronal PAS domain protein 2
SUCLG2,ENSG00000172340,0.5973360511779785,0.5901360511779785,0.0,0.0,0.0,0.0,0.028800000000000006,0.0,succinate-CoA ligase GDP-forming subunit beta
ACKR2,ENSG00000144648,0.5962535738945007,0.5962535738945007,0.0,0.0,0.0,0.0,0.0,0.0,atypical chemokine receptor 2
CRY2,ENSG00000121671,0.5872622976554994,0.5804443955421448,0.0,0.0,0.0,0.010961119020191326,0.0224,0.0,cryptochrome circadian regulator 2
SAP30L,ENSG00000164576,0.577988862991333,0.577988862991333,0.0,0.0,0.0,0.0,0.0,0.0,SAP30 like
NCR2,ENSG00000096264,0.5744857034397622,0.5744857034397622,0.0,0.0,0.0,0.0,0.0,0.0,natural cytotoxicity triggering receptor 2
HS3ST1,ENSG00000002587,0.5695102214813232,0.5695102214813232,0.0,0.0,0.0,0.0,0.0,0.0,heparan sulfate-glucosamine 3-sulfotransferase 1
MS4A6A,ENSG00000110077,0.5675974983451748,0.5528827380591045,0.0,0.0,0.0,0.0,0.05885904114428141,0.0,membrane spanning 4-domains A6A
HLA-DRB1,ENSG00000196126,0.5612547862853342,0.5483906473964453,0.0,0.0,0.0,0.0,0.051456555555555554,0.0,"major histocompatibility complex, class II, DR beta 1"
ADAMTS1,ENSG00000154734,0.5541914702746839,0.5455044507980347,0.0,0.0,0.0,0.0034831752898428826,0.03320000000000001,0.0,ADAM metallopeptidase with thrombospondin type 1 motif 1
LRRTM1,ENSG00000162951,0.545461444342435,0.5422846674919128,0.0,0.0,0.0,0.012707107402088837,0.0,0.0,leucine rich repeat transmembrane neuronal 1
LILRA5,ENSG00000187116,0.5427008271217346,0.5427008271217346,0.0,0.0,0.0,0.0,0.0,0.0,leukocyte immunoglobulin like receptor A5
TNRC6A,ENSG00000090905,0.5285266933791269,0.5267980694770813,0.0,0.0,0.0,0.0069144956081826775,0.0,0.0,trinucleotide repeat containing adaptor 6A
CYP8B1,ENSG00000180432,0.5156246423721313,0.5156246423721313,0.0,0.0,0.0,0.0,0.0,0.0,cytochrome P450 family 8 subfamily B member 1
RABEP1,ENSG00000029725,0.5153720424493449,0.5042427877585093,0.0,0.0,0.0,0.03136146320778697,0.029600000000000005,0.0,"rabaptin, RAB GTPase binding effector protein 1"
TYROBP,ENSG00000011600,0.5151274857207874,0.0,0.0,0.0,0.5,0.0,0.06050994288314951,0.0,transmembrane immune signaling adaptor TYROBP
MT-ND2,ENSG00000198763,0.5138693791099773,0.5,0.0,0.0,0.0,0.0,0.055477516439909294,0.0,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2
PRELID2,ENSG00000186314,0.5089724659919739,0.5089724659919739,0.0,0.0,0.0,0.0,0.0,0.0,PRELI domain containing 2
PDCL3,ENSG00000115539,0.49987247319221495,0.49267247319221497,0.0,0.0,0.0,0.0,0.028800000000000006,0.0,phosducin like 3
MS4A4A,ENSG00000110079,0.4947262515556441,0.48535451005904545,0.0,0.0,0.0,0.0,0.03748696598639455,0.0,membrane spanning 4-domains A4A
CCRL2,ENSG00000121797,0.4771496653556824,0.4771496653556824,0.0,0.0,0.0,0.0,0.0,0.0,C-C motif chemokine receptor like 2
SEMA3C,ENSG00000075223,0.47608423233032227,0.47608423233032227,0.0,0.0,0.0,0.0,0.0,0.0,semaphorin 3C
CNN2,ENSG00000064666,0.47060348591279416,0.47060348591279416,0.0,0.0,0.0,0.0,0.0,0.0,calponin 2
TP53INP1,ENSG00000164938,0.4675814732646577,0.46049919724464417,0.0,0.0,0.0,0.028329104080054204,0.0,0.0,tumor protein p53 inducible nuclear protein 1
ZNF292,ENSG00000188994,0.467366486787796,0.467366486787796,0.0,0.0,0.0,0.0,0.0,0.0,zinc finger protein 292
ZNF12,ENSG00000164631,0.4647996537387371,0.4647996537387371,0.0,0.0,0.0,0.0,0.0,0.0,zinc finger protein 12
CR1L,ENSG00000197721,0.4587865935255933,0.4587865935255933,0.0,0.0,0.0,0.0,0.0,0.0,complement C3b/C4b receptor 1 like
UNC5C,ENSG00000182168,0.45259702154195014,0.4375,0.0,0.0,0.0,0.0,0.06038808616780046,0.0,unc-5 netrin receptor C
DOCK2,ENSG00000134516,0.4467388888888889,0.0,0.0,0.0,0.436,0.0,0.042955555555555566,0.0,dedicator of cytokinesis 2
NEDD4L,ENSG00000049759,0.4462210830579318,0.4369588941335678,0.0,0.0,0.0,0.01068470031927595,0.032299999999999995,0.0,NEDD4 like E3 ubiquitin protein ligase
ADAMTS4,ENSG00000158859,0.4434575100302696,0.4348575100302696,0.0,0.0,0.0,0.0,0.0344,0.0,ADAM metallopeptidase with thrombospondin type 1 motif 4
APOC4,ENSG00000267467,0.4368955736895554,0.4331955736895554,0.0,0.0,0.0,0.0,0.014800000000000002,0.0,apolipoprotein C4
HCK,ENSG00000101336,0.43311666666666665,0.0,0.0,0.1,0.40395,0.0,0.0375,0.0,"HCK proto-oncogene, Src family tyrosine kinase"
RSPH10B2,ENSG00000169402,0.4231853596866131,0.4231853596866131,0.0,0.0,0.0,0.0,0.0,0.0,radial spoke head 10 homolog B2
