Pathway	Overall_rank	Genetic_rank	Notes
Hippo signaling pathway	234	Excluded_too_few_papers	Duplicate_pathway_in_KEGG
Focal adhesion	83	84	.
ECM-receptor interaction	143	183	.
Cell adhesion molecules (CAMs)	93	105	.
Adherens junction	214	Excluded_too_few_papers	.
Tight junction	135	182	.
Gap junction	182	Excluded_too_few_papers	.
Signaling pathways regulating pluripotency of stem cells	78	165	.
Complement and coagulation cascades	45	52	.
Platelet activation	136	108	.
Antigen processing and presentation	91	109	.
Renin-angiotensin system	64	12	.
Toll-like receptor signaling pathway	103	93	.
NOD-like receptor signaling pathway	206	Excluded_too_few_papers	.
RIG-I-like receptor signaling pathway	228	Excluded_too_few_papers	.
Cytosolic DNA-sensing pathway	232	Excluded_too_few_papers	.
C-type lectin receptor signaling pathway	223	Excluded_too_few_papers	.
JAK-STAT signaling pathway	122	124	.
Hematopoietic cell lineage	147	157	.
Natural killer cell mediated cytotoxicity	179	Excluded_too_few_papers	.
IL-17 signaling pathway	195	Excluded_too_few_papers	.
Th1 and Th2 cell differentiation	139	122	.
Th17 cell differentiation	212	Excluded_too_few_papers	.
T cell receptor signaling pathway	71	119	.
B cell receptor signaling pathway	126	126	.
Fc epsilon RI signaling pathway	235	Excluded_too_few_papers	.
Fc gamma R-mediated phagocytosis	209	Excluded_too_few_papers	.
TNF signaling pathway	23	141	.
Leukocyte transendothelial migration	181	Excluded_too_few_papers	.
Intestinal immune network for IgA production	189	Excluded_too_few_papers	.
Circadian rhythm	67	62	.
Circadian entrainment	67	62	.
Thermogenesis	203	Excluded_too_few_papers	.
Long-term potentiation	33	184	.
Synaptic vesicle cycle	74	152	.
Neurotrophin signaling pathway	62	172	.
Retrograde endocannabinoid signaling	148	162	.
Glutamatergic synapse	14	175	.
Cholinergic synapse	6	171	.
Serotonergic synapse	24	71	.
GABAergic synapse	44	180	.
Dopaminergic synapse	16	102	.
Long-term depression	5	41	.
Olfactory transduction	37	118	.
Taste transduction	143	77	.
Phototransduction	235	Excluded_too_few_papers	.
Inflammatory mediator regulation of TRP channels	229	Excluded_too_few_papers	.
Regulation of actin cytoskeleton	60	130	.
Insulin signaling pathway	20	64	.
Insulin secretion	20	64	.
GnRH signaling pathway	144	54	.
Ovarian steroidogenesis	154	94	.
Progesterone-mediated oocyte maturation	234	Excluded_too_few_papers	.
Estrogen signaling pathway	27	39	.
Melanogenesis	161	181	.
Prolactin signaling pathway	174	Excluded_too_few_papers	.
Thyroid hormone synthesis	106	53	.
Thyroid hormone signaling pathway	106	53	.
Adipocytokine signaling pathway	177	Excluded_too_few_papers	.
Oxytocin signaling pathway	184	Excluded_too_few_papers	.
Glucagon signaling pathway	209	Excluded_too_few_papers	.
Regulation of lipolysis in adipocytes	223	Excluded_too_few_papers	.
Renin secretion	133	17	.
Aldosterone synthesis and secretion	193	Excluded_too_few_papers	.
Relaxin signaling pathway	235	Excluded_too_few_papers	.
Cortisol synthesis and secretion	79	63	.
Parathyroid hormone synthesis secretion and action	187	Excluded_too_few_papers	.
GnRH secretion	164	56	.
Type II diabetes mellitus	26	26	.
Insulin resistance	49	50	.
Non-alcoholic fatty liver disease (NAFLD)	196	Excluded_too_few_papers	.
AGE-RAGE signaling pathway in diabetic complications	66	140	.
Cushing syndrome	206	Excluded_too_few_papers	.
Type I diabetes mellitus	132	10	.
Maturity onset diabetes of the young	236	Excluded_too_few_papers	Dodgy
Aldosterone-regulated sodium reabsorption	193	Excluded_too_few_papers	.
Endocrine and other factor-regulated calcium reabsorption	235	Excluded_too_few_papers	.
Vasopressin-regulated water reabsorption	214	Excluded_too_few_papers	.
Proximal tubule bicarbonate reclamation	237	Excluded_too_few_papers	No_association
Collecting duct acid secretion	236	Excluded_too_few_papers	No_association
Salivary secretion	196	Excluded_too_few_papers	.
Gastric acid secretion	222	Excluded_too_few_papers	.
Pancreatic secretion	73	83	.
Carbohydrate digestion and absorption	220	Excluded_too_few_papers	.
Protein digestion and absorption	203	Excluded_too_few_papers	.
Fat digestion and absorption	219	Excluded_too_few_papers	.
Bile secretion	162	45	.
Vitamin digestion and absorption	159	24	.
Mineral absorption	222	Excluded_too_few_papers	.
Cholesterol metabolism	17	21	.
Alzheimer disease	1	74	.
Parkinson disease	2	61	.
Amyotrophic lateral sclerosis (ALS)	10	60	.
Huntington disease	18	67	.
Prion diseases	21	47	.
Cocaine addiction	126	80	.
Amphetamine addiction	120	160	.
Morphine addiction	141	151	.
Nicotine addiction	59	147	.
Alcoholism	22	16	.
Bacterial invasion of epithelial cells	230	Excluded_too_few_papers	.
Vibrio cholerae infection	197	Excluded_too_few_papers	.
Epithelial cell signaling in Helicobacter pylori infection	183	Excluded_too_few_papers	.
Pathogenic Escherichia coli infection	102	44	.
Shigellosis	231	Excluded_too_few_papers	.
Salmonella infection	208	Excluded_too_few_papers	.
Pertussis	179	Excluded_too_few_papers	.
Legionellosis	234	Excluded_too_few_papers	.
Yersinia infection	237	Excluded_too_few_papers	No_association
Leishmaniasis	218	Excluded_too_few_papers	.
Chagas disease (American trypanosomiasis)	216	Excluded_too_few_papers	.
African trypanosomiasis	224	Excluded_too_few_papers	.
Malaria	167	Excluded_too_few_papers	.
Toxoplasmosis	151	43	.
Amoebiasis	237	Excluded_too_few_papers	No_association
Staphylococcus aureus infection	189	Excluded_too_few_papers	.
Tuberculosis	145	29	.
Hepatitis C	132	30	.
Hepatitis B	123	37	.
Measles	201	Excluded_too_few_papers	.
Human cytomegalovirus infection	158	48	.
Influenza A	146	40	.
Human papillomavirus infection	225	Excluded_too_few_papers	.
Human T-cell leukemia virus 1 infection	179	Excluded_too_few_papers	.
Kaposi sarcoma-associated herpesvirus infection	225	Excluded_too_few_papers	.
Herpes simplex virus 1 infection	97	15	.
Epstein-Barr virus infection	191	Excluded_too_few_papers	.
Human immunodeficiency virus 1 infection	19	86	.
Pathways in cancer	38	55	.
Transcriptional misregulation in cancer	107	34	.
Viral carcinogenesis	213	Excluded_too_few_papers	.
Chemical carcinogenesis	129	33	.
Proteoglycans in cancer	221	Excluded_too_few_papers	.
MicroRNAs in cancer	169	Excluded_too_few_papers	.
Colorectal cancer	92	7	.
Renal cell carcinoma	214	Excluded_too_few_papers	.
Pancreatic cancer	198	Excluded_too_few_papers	.
Endometrial cancer	178	Excluded_too_few_papers	.
Glioma	72	97	.
Prostate cancer	116	9	.
Thyroid cancer	221	Excluded_too_few_papers	.
Basal cell carcinoma	229	Excluded_too_few_papers	.
Melanoma	151	19	.
Bladder cancer	210	Excluded_too_few_papers	.
Chronic myeloid leukemia	112	36	.
Acute myeloid leukemia	112	36	.
Small cell lung cancer	137	25	.
Non-small cell lung cancer	131	22	.
Breast cancer	69	3	.
Hepatocellular carcinoma	180	Excluded_too_few_papers	.
Gastric cancer	190	Excluded_too_few_papers	.
Central carbon metabolism in cancer	190	Excluded_too_few_papers	.
Choline metabolism in cancer	209	Excluded_too_few_papers	.
PD-L1 expression and PD-1 checkpoint pathway in cancer	231	Excluded_too_few_papers	.
Asthma	98	23	.
Autoimmune thyroid disease	176	Excluded_too_few_papers	.
Inflammatory bowel disease (IBD)	177	Excluded_too_few_papers	.
Systemic lupus erythematosus	130	42	.
Rheumatoid arthritis	47	31	.
Allograft rejection	200	Excluded_too_few_papers	.
Graft-versus-host disease	220	Excluded_too_few_papers	.
Primary immunodeficiency	212	Excluded_too_few_papers	.
Hypertrophic cardiomyopathy (HCM)	158	5	.
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	158	5	.
Dilated cardiomyopathy (DCM)	158	5	.
Viral myocarditis	220	Excluded_too_few_papers	.
Fluid shear stress and atherosclerosis	30	13	.
Diabetes	7	14	Added_pathway
Cancer	9	27	Added_pathway
Adaptive immune system	104	113	Reactome
Innate immune system	70	79	Reactome
Cytokine signaling in immune system	90	178	Reactome
immune system	3	101	Added_pathway

