target.gene_info.symbol	target.id	association_score.overall	genetic_association	somatic_mutation	known_drug	affected_pathway	.rna_expression	literature	animal_model	target.gene_info.name
GABRG1	ENSG00000163285	0.26173894	0.046139147	0	0.246361111	0	0.026487383	0.0144	0	gamma-aminobutyric acid type A receptor subunit gamma1
ANKMY2	ENSG00000106524	0.260158102	0.254346907	0	0	0	0.02324478	0	0	ankyrin repeat and MYND domain containing 2
GRIK3	ENSG00000163873	0.253965944	0.253965944	0	0	0	0	0	0	glutamate ionotropic receptor kainate type subunit 3
CYP27C1	ENSG00000186684	0.253540465	0.253540465	0	0	0	0	0	0	cytochrome P450 family 27 subfamily C member 1
MAPT	ENSG00000186868	0.253152488	7.00E-08	0	0	0	0	0.086809922	0.23145	microtubule associated protein tau
HLA-DQA1	ENSG00000196735	0.252939871	0.252939871	0	0	0	0	0	0	major histocompatibility complex, class II, DQ alpha 1
SCIMP	ENSG00000161929	0.249628546	0.249628546	0	0	0	0	0	0	SLP adaptor and CSK interacting membrane protein
SH3RF2	ENSG00000156463	0.249570161	0.249570161	0	0	0	0	0	0	SH3 domain containing ring finger 2
KAT8	ENSG00000103510	0.249461247	0.244583469	0	0	0	0	0.019511111	0	lysine acetyltransferase 8
MRPL58	ENSG00000167862	0.248833343	0.248833343	0	0	0	0	0	0	mitochondrial ribosomal protein L58
HGF	ENSG00000019991	0.247645715	0.228520364	0	0	0	0.011317036	0.07147161	0	hepatocyte growth factor
TAS2R41	ENSG00000221855	0.245496396	0.245496396	0	0	0	0	0	0	taste 2 receptor member 41
SLC35C1	ENSG00000181830	0.240103245	0.240103245	0	0	0	0	0	0	solute carrier family 35 member C1
TBX2	ENSG00000121068	0.234518823	0.226418823	0	0	0	0	0.0324	0	T-box transcription factor 2
USP35	ENSG00000118369	0.234168157	0.234168157	0	0	0	0	0	0	ubiquitin specific peptidase 35
TAS2R60	ENSG00000185899	0.22120373	0.22120373	0	0	0	0	0	0	taste 2 receptor member 60
BCKDK	ENSG00000103507	0.219091704	0.215384711	0	0	0	0.014827972	0	0	branched chain keto acid dehydrogenase kinase
MAF	ENSG00000178573	0.218711606	0.210365772	0	0	0	0	0.033383333	0	MAF bZIP transcription factor
KIF5B	ENSG00000170759	0.217880172	0.21296449	0	0	0	0.019662727	0	0	kinesin family member 5B
RRAS2	ENSG00000133818	0.212164089	0.212164089	0	0	0	0	0	0	RAS related 2
NRGN	ENSG00000154146	0.211920852	0.00238647	0	0	0	0	0.105982753	0.18516	neurogranin
MINDY2	ENSG00000128923	0.210961266	0.210961266	0	0	0	0	0	0	MINDY lysine 48 deubiquitinase 2
KCTD2	ENSG00000180901	0.209290366	0.201990366	0	0	0	0	0.0292	0	potassium channel tetramerization domain containing 2
RELB	ENSG00000104856	0.207384329	0.207384329	0	0	0	0	0	0	RELB proto-oncogene, NF-kB subunit
PROSER2	ENSG00000148426	0.203964042	0.203964042	0	0	0	0	0	0	proline and serine rich 2
PRSS53	ENSG00000151006	0.203184957	0.203184957	0	0	0	0	0	0	serine protease 53
MS4A4E	ENSG00000214787	0.200446648	0.187349426	0	0	0	0	0.052388889	0	membrane spanning 4-domains A4E
MAPK8IP1	ENSG00000121653	0.198254676	0.181403458	0	0	0	0	0.067404871	0	mitogen-activated protein kinase 8 interacting protein 1
MS4A2	ENSG00000149534	0.196844712	0.189844712	0	0	0	0	0.028	0	membrane spanning 4-domains A2
PTPRJ	ENSG00000149177	0.19646407	0.191942036	0	0	0	0.018088136	0	0	protein tyrosine phosphatase receptor type J
SLC39A13	ENSG00000165915	0.196294063	0.196294063	0	0	0	0	0	0	solute carrier family 39 member 13
MAPK1	ENSG00000100030	0.196277319	0.010142588	0	0	0	0	0.039915222	0.18516	mitogen-activated protein kinase 1
SMIM8	ENSG00000111850	0.190699296	0.188846618	0	0	0	0.007410714	0	0	small integral membrane protein 8
AC092042.3	ENSG00000273291	0.19069244	0.19069244	0	0	0	0	0	0	novel protein
KRBOX1	ENSG00000240747	0.19069244	0.19069244	0	0	0	0	0	0	KRAB box domain containing 1
PRRT1	ENSG00000204314	0.189258092	0.01136907	0	0	0	0.011302425	0	0.18516	proline rich transmembrane protein 1
NR1H3	ENSG00000025434	0.185388222	0.177788222	0	0	0	0	0.0304	0	nuclear receptor subfamily 1 group H member 3
ZNF646	ENSG00000167395	0.182002481	0.182002481	0	0	0	0	0	0	zinc finger protein 646
AL049697.1	ENSG00000213204	0.179842979	0.179842979	0	0	0	0	0	0	novel transcript, C6orf165-SLC35A1 readthrough
NARS1	ENSG00000134440	0.175128028	0.175128028	0	0	0	0	0	0	asparaginyl-tRNA synthetase 1
NYAP1	ENSG00000166924	0.173218713	0.173218713	0	0	0	0	0	0	neuronal tyrosine phosphorylated phosphoinositide-3-kinase adaptor 1
CFAP206	ENSG00000272514	0.172428191	0.172428191	0	0	0	0	0	0	cilia and flagella associated protein 206
HLA-DRB5	ENSG00000198502	0.172021934	0.159846934	0	0	0	0	0.0487	0	major histocompatibility complex, class II, DR beta 5
PPOX	ENSG00000143224	0.168796592	0.161696592	0	0	0	0	0.0284	0	protoporphyrinogen oxidase
ADAMTS5	ENSG00000154736	0.166236756	0.159036756	0	0	0	0	0.0288	0	ADAM metallopeptidase with thrombospondin type 1 motif 5
ANO3	ENSG00000134343	0.163062062	0.160859078	0	0	0	0.008811937	0	0	anoctamin 3
DNALI1	ENSG00000163879	0.159797907	0.159797907	0	0	0	0	0	0	dynein axonemal light intermediate chain 1
RSPO1	ENSG00000169218	0.159289956	0.159289956	0	0	0	0	0	0	R-spondin 1
ARHGAP45	ENSG00000180448	0.15862387	0.15862387	0	0	0	0	0	0	Rho GTPase activating protein 45
HAND1	ENSG00000113196	0.157657367	0.153057367	0	0	0	0	0.0184	0	heart and neural crest derivatives expressed 1
NDUFS2	ENSG00000158864	0.15562983	0.15562983	0	0	0	0	0	0	NADH:ubiquinone oxidoreductase core subunit S2
DEDD	ENSG00000158796	0.155382233	0.155382233	0	0	0	0	0	0	death effector domain containing
ZCWPW1	ENSG00000078487	0.155186655	0.144286655	0	0	0	0	0.0436	0	zinc finger CW-type and PWWP domain containing 1
APOC2	ENSG00000234906	0.155043983	0.13983539	0	0	0	0	0.060834374	0	apolipoprotein C2
EPHX2	ENSG00000120915	0.15410239	0.14700239	0	0	0	0	0.0284	0	epoxide hydrolase 2
CCR5	ENSG00000160791	0.149528467	0.133271128	0	0	0	0	0.065029357	0	C-C motif chemokine receptor 5 (gene/pseudogene)
VKORC1	ENSG00000167397	0.148896546	0.095586183	0	0.125	0	0	0	0	vitamin K epoxide reductase complex subunit 1
ATP8B1	ENSG00000081923	0.148688107	0.145876348	0	0	0	0.011247038	0	0	ATPase phospholipid transporting 8B1
GRXCR2	ENSG00000204928	0.147242248	0.147242248	0	0	0	0	0	0	glutaredoxin and cysteine rich domain containing 2
WWOX	ENSG00000186153	0.145001543	0.133584678	0	0	0	0	0.045667459	0	WW domain containing oxidoreductase
POU4F3	ENSG00000091010	0.142488569	0.142488569	0	0	0	0	0	0	POU class 4 homeobox 3
KCTD21	ENSG00000188997	0.140115485	0.140115485	0	0	0	0	0	0	potassium channel tetramerization domain containing 21
C6orf163	ENSG00000203872	0.140054956	0.140054956	0	0	0	0	0	0	chromosome 6 open reading frame 163
KNOP1	ENSG00000103550	0.136947535	0.134328629	0	0	0	0.010475624	0	0	lysine rich nucleolar protein 1
AURKA	ENSG00000087586	0.13536391	0.13536391	0	0	0	0	0	0	aurora kinase A
AL157392.5	ENSG00000282246	0.132405476	0.132405476	0	0	0	0	0	0	novel protein
LTF	ENSG00000012223	0.131091529	0.11520803	0	0	0	0.007529731	0.060187449	0	lactotransferrin
PLAC8L1	ENSG00000173261	0.130067542	0.130067542	0	0	0	0	0	0	PLAC8 like 1
TMEM259	ENSG00000182087	0.129921551	0.126721551	0	0	0	0	0.0128	0	transmembrane protein 259
SVIL	ENSG00000197321	0.129523531	0.129523531	0	0	0	0	0	0	supervillin
MEAF6	ENSG00000163875	0.128530318	0.127688244	0	0	0	0.003368297	0	0	MYST/Esa1 associated factor 6
SPI1	ENSG00000066336	0.125861418	0.119094751	0	0	0	0	0.027066667	0	Spi-1 proto-oncogene
LILRA4	ENSG00000239961	0.120378233	0.120378233	0	0	0	0	0	0	leukocyte immunoglobulin like receptor A4
RFX3	ENSG00000080298	0.120065808	0.120065808	0	0	0	0	0	0	regulatory factor X3
CCR2	ENSG00000121807	0.119543202	0.107576817	0	0	0	0	0.047865537	0	C-C motif chemokine receptor 2
ZNF532	ENSG00000074657	0.118206069	0.118206069	0	0	0	0	0	0	zinc finger protein 532
GRN	ENSG00000030582	0.115052812	7.00E-08	0	0	0	0	0.115052794	0	granulin precursor
MS4A3	ENSG00000149516	0.112892781	0.109292781	0	0	0	0	0.0144	0	membrane spanning 4-domains A3
GABRA4	ENSG00000109158	0.112601144	0.043525886	0	0.1	0	0.015477053	0	0	gamma-aminobutyric acid type A receptor subunit alpha4
CR2	ENSG00000117322	0.11193421	0.11193421	0	0	0	0	0	0	complement C3d receptor 2
GABRB1	ENSG00000163288	0.111348535	0.043525886	0	0.1	0	0.004203568	0	0	gamma-aminobutyric acid type A receptor subunit beta1
MPZ	ENSG00000158887	0.111295605	0.020630132	0	0	0	0	0.106138072	0	myelin protein zero
SMIM24	ENSG00000095932	0.111023925	0.111023925	0	0	0	0	0	0	small integral membrane protein 24
PRSS36	ENSG00000178226	0.110100318	0.110100318	0	0	0	0	0	0	serine protease 36
C11orf96	ENSG00000187479	0.109604196	0.106534451	0	0	0	0.012278978	0	0	chromosome 11 open reading frame 96
FAM210B	ENSG00000124098	0.108327554	0.104372708	0	0	0	0.015819382	0	0	family with sequence similarity 210 member B
GCNT4	ENSG00000176928	0.108118564	0.108118564	0	0	0	0	0	0	glucosaminyl (N-acetyl) transferase 4
ALPK2	ENSG00000198796	0.106882095	0.106882095	0	0	0	0	0	0	alpha kinase 2
SLC5A2	ENSG00000140675	0.106620963	0.007388671	0	0.1	0	0	0.0232	0	solute carrier family 5 member 2
ACCSL	ENSG00000205126	0.106534451	0.106534451	0	0	0	0	0	0	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like
ACCS	ENSG00000110455	0.106534451	0.106534451	0	0	0	0	0	0	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)
SNIP1	ENSG00000163877	0.105513185	0.105513185	0	0	0	0	0	0	Smad nuclear interacting protein 1
EPC1	ENSG00000120616	0.104922124	0.095810771	0	0	0	0.03644541	0	0	enhancer of polycomb homolog 1
NEU2	ENSG00000115488	0.104517755	0.104517755	0	0	0	0	0	0	neuraminidase 2
FBXL19	ENSG00000099364	0.104390699	0.104390699	0	0	0	0	0	0	F-box and leucine rich repeat protein 19
VPS35L	ENSG00000103544	0.10338956	0.099702213	0	0	0	0.014749387	0	0	VPS35 endosomal protein sorting factor like
ALKBH3	ENSG00000166199	0.1029946	0.101503693	0	0	0	0.005963628	0	0	alkB homolog 3, alpha-ketoglutaratedependent dioxygenase
TREM2	ENSG00000095970	0.099337965	0.033946635	0	0	0	0	0.090851306	0	triggering receptor expressed on myeloid cells 2
